Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50kb	associated_gene-4DGenome	Cell_Tissue	Detection_method	PMID	closest_gene	distance
37	1	212363870	212365587	212364431	N	NA	Erbin	NA	NA	NA	NA	Erbin	11626
38	1	220492479	220493449	220492905	N	NA	NA	NA	NA	NA	NA	Map3k1	301072
39	1	224182903	224186543	224185043	N	NA	NA	NA	NA	NA	NA	Itga1,Pelo	566268
40	1	23113872	23115390	23114717	N	NA	NA	NA	NA	NA	NA	Gsto1	205781
41	1	249235104	249237143	249236264	N	NA	LOC120885840,Selenop	NA	NA	NA	NA	LOC120885840	7766
42	1	249245574	249248385	249246255	N	NA	LOC120885840	NA	NA	NA	NA	LOC120885840	18236
43	1	249250984	249253447	249252040	N	NA	LOC120885840	NA	NA	NA	NA	LOC120885840	23646
44	1	250729040	250730369	250729580	N	NA	NA	NA	NA	NA	NA	Otulin	311656
45	1	257531087	257532954	257532544	N	NA	NA	NA	NA	NA	NA	Srd5a1	482983
46	1	30480948	30482012	30481217	N	NA	NA	NA	NA	NA	NA	Ccnj	104303
47	1	31600251	31603659	31601567	N	NA	LOC101964587,LOC101971054	NA	NA	NA	NA	LOC101971054	7268
48	1	33081160	33083465	33082463	N	NA	NA	NA	NA	NA	NA	Rbp4	332179
49	1	3483323	3486987	3484180,3485787	N,N	NA;NA	NA	NA	NA	NA	NA	Glrx3	1019955
50	1	3521891	3524344	3522249	N	NA	NA	NA	NA	NA	NA	Glrx3	1058523
51	1	36432336	36434154	36432860	N	NA	NA	NA	NA	NA	NA	Ch25h	101464
52	1	37330406	37332763	37331743	N	NA	Wapl	NA	NA	NA	NA	Wapl	11135
53	1	44043724	44046108	44044355	N	NA	NA	NA	NA	NA	NA	LOC144375240	79535
54	1	50855125	50856900	50856090	N	NA	NA	NA	NA	NA	NA	Slc29a3	150522
55	1	51047005	51047742	51047252	N	NA	NA	NA	NA	NA	NA	Sgpl1	80335
56	1	6961951	6963365	6962636	N	NA	NA	NA	NA	NA	NA	Lhpp	81110
57	1	71157005	71163411	71162150	N	NA	NA	NA	NA	NA	NA	Fas	405662
58	1	71668623	71671652	71670907	N	NA	NA	NA	NA	NA	NA	LOC144366972	634885
59	1	74940323	74942153	74940809	N	NA	NA	NA	NA	NA	NA	Mapk8	505253
60	1	78075272	78076235	78075584	N	NA	NA	NA	NA	NA	NA	LOC106145160	68860
61	1	91197889	91203736	91198593,91203703	N,N	NA;NA	Acot12	NA	NA	NA	NA	Acot12	3102
62	1	91650596	91652259	91651278	N	NA	NA	NA	NA	NA	NA	Rps23	386909
63	1	97485	99133	97919	N	NA	Cyp2e1	NA	NA	NA	NA	Cyp2e1	48082
64	1	98436315	98437006	98436634	N	NA	NA	NA	NA	NA	NA	LOC120885806	258040
65	10	103701386	103703715	103702366	N	NA	NA	NA	NA	NA	NA	LOC144367414	275996
66	10	104723807	104724893	104724479	N	NA	NA	NA	NA	NA	NA	Mafk	63173
67	10	107285465	107288504	107286915	N	NA	NA	NA	NA	NA	NA	Ap5z1	91575
68	10	107342319	107343935	107343416	N	NA	NA	NA	NA	NA	NA	Ap5z1	148429
69	10	109180798	109184650	109181489	N	NA	Eif2ak1	NA	NA	NA	NA	Eif2ak1	12976
70	10	109734746	109747831	109736613,109738711	N,N	NA;NA	NA	NA	NA	NA	NA	Tecpr1	141360
71	10	111011770	111013071	111012521	N	NA	LOC101975676	NA	NA	NA	NA	LOC101975676	35106
72	10	111218543	111220947	111219612	N	NA	LOC101971393	NA	NA	NA	NA	LOC101971393	7288
73	10	11385040	11387611	11386302	N	NA	NA	NA	NA	NA	NA	Ralgps2	74903
74	10	11396507	11397914	11397261	N	NA	NA	NA	NA	NA	NA	Ralgps2	64600
75	10	117452022	117453887	117453225	N	NA	Hip1,Rhbdd2	NA	NA	NA	NA	Rhbdd2	25021
76	10	118385936	118386883	118386521	N	NA	NA	NA	NA	NA	NA	Lat2	61425
77	10	134095647	134098698	134097178	N	NA	Mrtfb	NA	NA	NA	NA	Mrtfb	38956
78	10	14185938	14188255	14187435	N	NA	NA	NA	NA	NA	NA	Rgs16	306242
79	10	142667742	142669530	142668804	N	NA	Hapstr1	NA	NA	NA	NA	Hapstr1	3467
80	10	144279148	144280357	144279582	N	NA	Litaf	NA	NA	NA	NA	Litaf	3964
81	10	144283833	144285496	144284734	N	NA	Litaf	NA	NA	NA	NA	Litaf	8649
82	10	28911569	28914685	28913357	N	NA	NA	NA	NA	NA	NA	Znf281	142835
83	10	28962474	28967997	28966981	N	NA	NA	NA	NA	NA	NA	Znf281	89523
84	10	29144069	29145818	29145315	N	NA	NA	NA	NA	NA	NA	Znf281	86549
85	10	31599394	31603722	31601031,31603237	N,N	NA;NA	Btg2	NA	NA	NA	NA	Btg2	23869
86	10	31604743	31606238	31605575	N	NA	Btg2	NA	NA	NA	NA	Btg2	21353
87	10	31612303	31615217	31614038	N	NA	Btg2	NA	NA	NA	NA	Btg2	12374
88	10	33891036	33897463	33896944	N	NA	NA	NA	NA	NA	NA	Nuak2	154134
89	10	36111031	36112918	36111846	N	NA	Plxna2	NA	NA	NA	NA	Plxna2	6567
90	10	39328679	39330079	39329453	N	NA	NA	NA	NA	NA	NA	Lpgat1	66563
91	10	39885396	39886819	39886137	N	NA	Atf3	NA	NA	NA	NA	Atf3	21290
92	10	56638434	56640263	56639447	N	NA	NA	NA	NA	NA	NA	Opn3	964790
93	10	57701793	57702407	57702083	N	NA	Fh,Kmo	NA	NA	NA	NA	Kmo	2711
94	10	62167052	62169016	62168155	N	NA	NA	NA	NA	NA	NA	Irf2bp2	129499
95	10	62181117	62182898	62181937	N	NA	NA	NA	NA	NA	NA	Irf2bp2	143564
96	10	62184063	62190427	62184653,62187548,62188609	N,N,N	NA;NA;NA	NA	NA	NA	NA	NA	Irf2bp2	146510
97	10	62291087	62293291	62291933	N	NA	NA	NA	NA	NA	NA	Tomm20	114847
98	10	62294864	62301312	62296669,62300160	N,N	NA;NA	NA	NA	NA	NA	NA	Tomm20	106826
99	10	62309920	62311251	62310761	N	NA	NA	NA	NA	NA	NA	Tomm20	96887
100	10	62329389	62331923	62330768	N	NA	NA	NA	NA	NA	NA	Tomm20	76215
101	10	62366246	62373925	62367428,62370507,62372883	N,N,N	NA;NA;NA	Tomm20	NA	NA	NA	NA	Tomm20	34213
102	10	71211994	71213107	71212451	N	NA	Rbm17	NA	NA	NA	NA	Rbm17	25773
103	10	71468756	71470365	71469510	N	NA	NA	NA	NA	NA	NA	Rbm17	229876
104	10	72389458	72390374	72389943	N	NA	Sfmbt2	NA	NA	NA	NA	Sfmbt2	13548
105	10	76109067	76110633	76109962	N	NA	Usp6nl	NA	NA	NA	NA	Usp6nl	26027
106	10	76165052	76167298	76166258	N	NA	Echdc3	NA	NA	NA	NA	Echdc3	13383
107	10	78937142	78938322	78937777	N	NA	NA	NA	NA	NA	NA	Arhgap21	272230
108	10	81350723	81352091	81351690	N	NA	NA	NA	NA	NA	NA	Commd3	50447
109	10	81952965	81955644	81953519	N	NA	Mllt10	NA	NA	NA	NA	Mllt10	7067
110	10	86316813	86318010	86317492	N	NA	Pter	NA	NA	NA	NA	Pter	15848
111	10	92194502	92195368	92194913	N	NA	Kif5b	NA	NA	NA	NA	Kif5b	4817
112	10	93479711	93480809	93480350	N	NA	NA	NA	NA	NA	NA	Znf438	225533
113	10	96758916	96759586	96759275	N	NA	NA	NA	NA	NA	NA	Fam107b	91612
114	10	98956260	98975649	98957268,98970556,98974638	N,N,N	NA;NA;NA	NA	NA	NA	NA	NA	Optn	677394
115	11	102905496	102906319	102905821	N	NA	LOC101959378,LOC101959659,LOC101960145,LOC144368232	NA	NA	NA	NA	LOC101959659	3495
116	11	104605362	104606222	104605932	N	NA	NA	NA	NA	NA	NA	C11H1orf162	54087
117	11	104608115	104609925	104609064	N	NA	NA	NA	NA	NA	NA	C11H1orf162	56840
118	11	106097049	106098991	106097869	N	NA	NA	NA	NA	NA	NA	Lrig2	96272
119	11	12200814	12203326	12202118	N	NA	Iffo2,LOC144367912	NA	NA	NA	NA	LOC144367912	32179
120	11	13199153	13199981	13199347	N	NA	NA	NA	NA	NA	NA	Camk2n1	215885
121	11	13203364	13215090	13204621,13214498	N,N	NA;NA	NA	NA	NA	NA	NA	Camk2n1	200776
122	11	132819106	132820062	132819390	N	NA	Bcl9,LOC144368549	NA	NA	NA	NA	LOC144368549	10129
123	11	17997295	18000092	17997823,17999333	N,N	NA;NA	NA	NA	NA	NA	NA	Arid1a	52643
124	11	22700801	22702313	22701639	N	NA	Ak2,LOC144367988	NA	NA	NA	NA	Ak2	3921
125	11	23666143	23666851	23666218	N	NA	Csmd2	NA	NA	NA	NA	Csmd2	12633
126	11	28232944	28234546	28233609	N	NA	Pabpc4	NA	NA	NA	NA	Pabpc4	3785
127	11	2855553	2856782	2856146	N	NA	NA	NA	NA	NA	NA	Tnfrsf25	733699
128	11	2864081	2880835	2876146,2879636	N,N	NA;NA	NA	NA	NA	NA	NA	Tnfrsf25	709646
129	11	2884558	2887733	2885277	N	NA	NA	NA	NA	NA	NA	Tnfrsf25	702748
130	11	31641289	31642893	31642156	N	NA	Hyi	NA	NA	NA	NA	Hyi	45810
131	11	39559969	39563138	39561482	N	NA	NA	NA	NA	NA	NA	Tut4	148247
132	11	39565977	39567540	39566887	N	NA	NA	NA	NA	NA	NA	Tut4	154255
133	11	41433292	41435293	41434466	N	NA	NA	NA	NA	NA	NA	Pars2	107118
134	11	42708682	42713583	42711159	N	NA	NA	NA	NA	NA	NA	Fyb2	363067
135	11	4793096	4810415	4794631,4796590,4807213,4809408	N,N,N,N	NA;NA;NA;NA	LOC144367845	NA	NA	NA	NA	LOC144367845	26469
136	11	51349978	51351237	51350507	N	NA	NA	NA	NA	NA	NA	Leprot	223629
137	11	52971748	52974530	52973180	N	NA	NA	NA	NA	NA	NA	Serbp1	104554
138	11	68793241	68793886	68793726	N	NA	NA	NA	NA	NA	NA	Znhit6	98101
139	11	70600354	70602067	70601321	N	NA	NA	NA	NA	NA	NA	Lmo4	96618
140	11	77497478	77498867	77498026	N	NA	Abcd3	NA	NA	NA	NA	Abcd3	36238
141	11	96052810	96080796	96053096,96055989	N,N	NA;NA	NA	NA	NA	NA	NA	Pde4dip	2301599
142	12	105634798	105638254	105637625	N	NA	Apob	NA	NA	NA	NA	Apob	2453
143	12	106139487	106143071	106142090	N	NA	Rhob	NA	NA	NA	NA	Rhob	2774
144	12	106815340	106826945	106815917	N	NA	NA	NA	NA	NA	NA	LOC144369445	103215
145	12	106833953	106836255	106834887	N	NA	NA	NA	NA	NA	NA	LOC144369445	93905
146	12	106867985	106871202	106869736	N	NA	NA	NA	NA	NA	NA	LOC144369445	58958
147	12	115556476	115565970	115561573,115565193	N,N	NA;NA	NA	NA	NA	NA	NA	LOC144369475	150510
148	12	115695619	115697550	115696335	N	NA	NA	NA	NA	NA	NA	LOC144369475	289653
149	12	117057951	117072107	117058942,117060280,117069135	N,N,N	NA;NA;NA	NA	NA	NA	NA	NA	Cmpk2	412546
150	12	119815309	119817320	119816377	N	NA	NA	NA	NA	NA	NA	Acp1	182388
151	12	119835793	119837738	119836873	N	NA	NA	NA	NA	NA	NA	Acp1	161970
152	12	119842214	119843989	119843036	N	NA	NA	NA	NA	NA	NA	Acp1	155719
153	12	12459877	12461341	12460365	N	NA	NA	NA	NA	NA	NA	LOC144369050	516530
154	12	1288669	1291417	1290170	N	NA	Fabp1	NA	NA	NA	NA	Fabp1	13634
155	12	1674622	1676991	1675878	N	NA	NA	NA	NA	NA	NA	Chmp3	91614
156	12	1977895	1982353	1978151	N	NA	St3gal5	NA	NA	NA	NA	St3gal5	42065
157	12	1989796	1991742	1990893	N	NA	St3gal5	NA	NA	NA	NA	St3gal5	32676
158	12	2124501	2127699	2125636	N	NA	NA	NA	NA	NA	NA	St3gal5	100083
159	12	36292879	36301790	36294141	N	NA	LOC101958538	NA	NA	NA	NA	LOC101958538	28690
160	12	41369598	41371261	41370481	N	NA	NA	NA	NA	NA	NA	Tgfbrap1	250118
161	12	44468943	44471068	44470032	N	NA	Il1r1	NA	NA	NA	NA	Il1r1	44899
162	12	44473746	44475085	44474570	N	NA	Il1r1	NA	NA	NA	NA	Il1r1	49702
163	12	44494686	44496160	44495602	N	NA	NA	NA	NA	NA	NA	Il1r1	70642
164	12	66689638	66691038	66690405	N	NA	Etaa1	NA	NA	NA	NA	Etaa1	37329
165	12	68712612	68713994	68713273	N	NA	Rab1a	NA	NA	NA	NA	Rab1a	4150
166	12	71478260	71479592	71478873	N	NA	NA	NA	NA	NA	NA	Cct4	114924
167	12	78006043	78007677	78006368	N	NA	NA	NA	NA	NA	NA	Psme4	115746
168	12	83093543	83095341	83094503	N	NA	NA	NA	NA	NA	NA	Foxn2	161083
169	12	86507687	86509137	86508657	N	NA	NA	NA	NA	NA	NA	Lrpprc	94186
170	12	86514662	86516955	86515514	N	NA	NA	NA	NA	NA	NA	Lrpprc	86368
171	12	86531290	86534131	86532800	N	NA	NA	NA	NA	NA	NA	Lrpprc	69192
172	12	86540952	86542408	86541939	N	NA	NA	NA	NA	NA	NA	Lrpprc	60915
173	12	98067187	98068034	98067613	N	NA	Lbh	NA	NA	NA	NA	Lbh	4974
174	13	13365135	13368345	13365929	N	NA	NA	NA	NA	NA	NA	Relch	263050
175	13	13372894	13375715	13374161	N	NA	NA	NA	NA	NA	NA	Relch	255680
176	13	13380812	13385140	13381533	N	NA	NA	NA	NA	NA	NA	Relch	246255
177	13	13421013	13422365	13421676	N	NA	NA	NA	NA	NA	NA	Relch	209030
178	13	17388520	17403269	17390384,17396028	N,N	NA;NA	Onecut2	NA	NA	NA	NA	Onecut2	6101
179	13	23810513	23826027	23822207,23823969	N,N	NA;NA	NA	NA	NA	NA	NA	Acaa2	74164
180	13	23856376	23868554	23858631,23862285,23867504	N,N,N	NA;NA;NA	NA	NA	NA	NA	NA	Lipg	52836
181	13	23938035	23939069	23938375	N	NA	C13H18orf32,Dym,Lipg	NA	NA	NA	NA	C13H18orf32	14605
182	13	2664025	2667518	2666353	N	NA	NA	NA	NA	NA	NA	Mbp	538310
183	13	2688116	2691902	2689540	N	NA	NA	NA	NA	NA	NA	Mbp	562401
184	13	28087718	28088922	28088228	N	NA	NA	NA	NA	NA	NA	LOC144369806	360241
185	13	33504588	33505879	33505184	N	NA	NA	NA	NA	NA	NA	LOC101959331	1681553
186	13	38652808	38656230	38655110	N	NA	Rnf125	NA	NA	NA	NA	Rnf125	18966
187	13	4287160	4290547	4288079	N	NA	Timm21	NA	NA	NA	NA	Timm21	28594
188	13	48503800	48505702	48504855	N	NA	NA	NA	NA	NA	NA	LOC144369849	161322
189	13	91104832	91109878	91105333,91108180	N,N	NA;NA	Fbp2	NA	NA	NA	NA	Fbp2	47969
190	13	91131485	91133383	91132917	N	NA	Aopep	NA	NA	NA	NA	Aopep	42270
191	13	97858711	97860879	97859833	N	NA	NA	NA	NA	NA	NA	LOC120886504	60911
192	13	97982675	97987658	97984116,97986811	N,N	NA;NA	NA	NA	NA	NA	NA	LOC120886504	184875
193	13	98102338	98103578	98103060	N	NA	NA	NA	NA	NA	NA	LOC120886504	304538
194	13	98932470	98934947	98932968	N	NA	NA	NA	NA	NA	NA	LOC144370071	104345
195	13	98971111	98973408	98972339	N	NA	NA	NA	NA	NA	NA	LOC144370071	65884
196	14	13356742	13357777	13357368	N	NA	NA	NA	NA	NA	NA	Dok2	51671
197	14	18204544	18204828	18204715	N	NA	Tmem192	NA	NA	NA	NA	Tmem192	7121
198	14	33605273	33606288	33605923	N	NA	NA	NA	NA	NA	NA	Irf2	204762
199	14	34119413	34121184	34120057,34120122	N,N	NA;NA	Acsl1	NA	NA	NA	NA	Acsl1	26862
200	14	34146618	34149407	34147899	N	NA	NA	NA	NA	NA	NA	Acsl1	54067
201	14	39059280	39061474	39060580	N	NA	NA	NA	NA	NA	NA	LOC110598706	137062
202	14	39083480	39085133	39084326	N	NA	NA	NA	NA	NA	NA	LOC110598706	113403
203	14	39098894	39100528	39099540	N	NA	NA	NA	NA	NA	NA	LOC110598706	98008
204	14	49254415	49256041	49255526	N	NA	NA	NA	NA	NA	NA	LOC144370389	1727432
205	14	51648294	51649665	51648937	N	NA	NA	NA	NA	NA	NA	LOC144370405	113719
206	14	5697707	5699812	5698821	N	NA	NA	NA	NA	NA	NA	Gata4	159847
207	14	5939967	5941731	5940870	N	NA	NA	NA	NA	NA	NA	Gata4	80308
208	14	64902910	64905150	64904022	N	NA	Tcim	NA	NA	NA	NA	Tcim	35813
209	14	65058327	65059646	65059085	N	NA	NA	NA	NA	NA	NA	Tcim	191230
210	14	70240320	70246386	70245597	N	NA	Ppp1r3b	NA	NA	NA	NA	Ppp1r3b	38761
211	14	70353662	70354913	70354480	N	NA	NA	NA	NA	NA	NA	Ppp1r3b	68515
212	14	70441986	70444381	70443138	N	NA	NA	NA	NA	NA	NA	Ppp1r3b	156839
213	14	7324481	7325886	7324812	N	NA	Kif13b	NA	NA	NA	NA	Kif13b	12560
214	14	9924121	9925962	9924891	N	NA	Ppp2r2a	NA	NA	NA	NA	Ppp2r2a	7865
215	15	13547852	13551286	13550570	N	NA	Egln2,LOC101956400,LOC101966838,LOC144371050	NA	NA	NA	NA	LOC144371050	25909
216	15	19220193	19222526	19221796	N	NA	NA	NA	NA	NA	NA	Wdr88	135033
217	15	22962164	22963437	22962959	N	NA	NA	NA	NA	NA	NA	Uqcrfs1	264208
218	15	30626554	30644219	30627472,30631101	N,N	NA;NA	NA	NA	NA	NA	NA	Cyld	607316
219	15	30669227	30671304	30669973	N	NA	NA	NA	NA	NA	NA	Cyld	649989
220	15	36743284	36760214	36743866,36749895	N,N	NA;NA	Got2,Slc38a7	NA	NA	NA	NA	Got2	8585
221	15	48460747	48466313	48461945,48464906	N,N	NA;NA	LOC120887963,Tat	NA	NA	NA	NA	Tat	3647
222	15	48539666	48541818	48540341	N	NA	NA	NA	NA	NA	NA	LOC120887963	57859
223	15	53804813	53815353	53805378	N	NA	LOC106145435	NA	NA	NA	NA	LOC106145435	2936
224	15	53940089	53942424	53941233,53941296	N,N	NA;NA	NA	NA	NA	NA	NA	LOC106145435	138212
225	15	54360444	54362106	54361236	N	NA	NA	NA	NA	NA	NA	Cdyl2	410515
226	15	54366550	54367924	54367226	N	NA	NA	NA	NA	NA	NA	Cdyl2	404697
227	15	55684445	55687304	55685850	N	NA	Hsd17b2,Sdr42e1	NA	NA	NA	NA	Hsd17b2	7058
228	15	9952765	9954163	9953248	N	NA	NA	NA	NA	NA	NA	LOC144370763	203192
229	16	37100165	37110292	37106981,37109000	N,N	NA;NA	NA	NA	NA	NA	NA	Isy1	176168
230	16	42647229	42648736	42647520	N	NA	NA	NA	NA	NA	NA	Srgap3	1010250
231	16	45472021	45472495	45472187	N	NA	Bhlhe40	NA	NA	NA	NA	Bhlhe40	49857
232	16	50890714	50892170	50891585	N	NA	NA	NA	NA	NA	NA	Eif4e3	1180457
233	16	51853114	51855018	51853680	N	NA	NA	NA	NA	NA	NA	Eif4e3	217609
234	16	51957567	51958852	51958173	N	NA	NA	NA	NA	NA	NA	Eif4e3	113775
235	16	52132293	52145606	52143731	N	NA	Foxp1,LOC110598950	NA	NA	NA	NA	LOC110598950	36473
236	16	6192467	6194035	6193005	N	NA	NA	NA	NA	NA	NA	Txnrd3	29923497
237	16	7318066	7318673	7318623	N	NA	NA	NA	NA	NA	NA	Txnrd3	28798859
238	2	136495535	136498574	136495698	N	NA	Cdk13	NA	NA	NA	NA	Cdk13	10301
239	2	148558771	148581584	148580194	N	NA	NA	NA	NA	NA	NA	Snx10	178708
240	2	148587595	148589061	148588198	N	NA	NA	NA	NA	NA	NA	Snx10	171231
241	2	150338215	150340204	150338820	N	NA	Pals2	NA	NA	NA	NA	Pals2	48696
242	2	150382495	150384219	150383126	N	NA	NA	NA	NA	NA	NA	Pals2	92976
243	2	176549700	176551785	176550980	N	NA	Sypl1	NA	NA	NA	NA	Sypl1	48362
244	2	176871752	176873772	176873171	N	NA	NA	NA	NA	NA	NA	Nampt	221493
245	2	182685937	182687707	182686708	N	NA	NA	NA	NA	NA	NA	Ndufa5	207011
246	2	19766310	19768132	19766764	N	NA	NA	NA	NA	NA	NA	Cyp8b1	146243
247	2	198362474	198364211	198363302	N	NA	NA	NA	NA	NA	NA	LOC144375439	71178
248	2	199026038	199029236	199028029	N	NA	Pdk4	NA	NA	NA	NA	Pdk4	10961
249	2	22125439	22126717	22125844	N	NA	NA	NA	NA	NA	NA	Znf619	178023
250	2	225686369	225689418	225687177,225687868	N,N	NA;NA	NA	NA	NA	NA	NA	Slc4a2	182898
251	2	227041088	227045989	227041891	N	NA	NA	NA	NA	NA	NA	Cct8l2	71316
252	2	229071635	229074774	229073294	N	NA	NA	NA	NA	NA	NA	Lmbr1	1245414
253	2	229090658	229093742	229092916	N	NA	NA	NA	NA	NA	NA	Lmbr1	1226446
254	2	229094710	229096229	229095678	N	NA	NA	NA	NA	NA	NA	Lmbr1	1223959
255	2	230345490	230347434	230345986	N	NA	Lmbr1	NA	NA	NA	NA	Lmbr1	25302
256	2	232522265	232524854	232523863	N	NA	NA	NA	NA	NA	NA	Lmbr1	2202077
257	2	42105614	42106940	42105844	N	NA	Plcl2	NA	NA	NA	NA	Plcl2	44249
258	2	47779681	47781317	47780550	N	NA	NA	NA	NA	NA	NA	Tkt	89356
259	2	56193172	56194206	56193853	N	NA	Magi1	NA	NA	NA	NA	Magi1	12651
260	2	56204126	56208750	56205394,56207473	N,N	NA;NA	Magi1	NA	NA	NA	NA	Magi1	23605
261	2	56720381	56722049	56720931	N	NA	NA	NA	NA	NA	NA	LOC110599118	358506
262	2	58674876	58676552	58675716	N	NA	NA	NA	NA	NA	NA	LOC110597289	661966
263	2	58775516	58845089	58776197,58778120,58782515,58785122,58797833,58816419	N,N,N,N,N,N	NA;NA;NA;NA;NA;NA	NA	NA	NA	NA	NA	LOC110597289	762606
264	2	68538589	68541263	68539568	N	NA	NA	NA	NA	NA	NA	Dgcr6l	1836020
265	2	84062665	84089159	84063718	N	NA	LOC101963847	NA	NA	NA	NA	LOC101963847	32595
266	2	87454780	87461219	87458127,87460098	N,N	NA;NA	NA	NA	NA	NA	NA	Tbx3	222240
267	2	88648914	88650096	88649280	N	NA	NA	NA	NA	NA	NA	Spring1	156554
268	2	90730239	90731726	90730552	N	NA	NA	NA	NA	NA	NA	LOC144375238	148706
269	2	90838236	90839543	90838925	N	NA	LOC144375238	NA	NA	NA	NA	LOC144375238	40889
270	2	90993496	90995206	90994443	N	NA	Pptc7	NA	NA	NA	NA	Pptc7	5904
271	2	96031263	96033925	96032531	N	NA	NA	NA	NA	NA	NA	Ubc	1965105
272	3	100507798	100508883	100508378	N	NA	NA	NA	NA	NA	NA	Mbnl1	216782
273	3	100602134	100603465	100602945	N	NA	NA	NA	NA	NA	NA	Mbnl1	311118
274	3	102214374	102215853	102215334	N	NA	NA	NA	NA	NA	NA	Tsc22d2	108398
275	3	102217483	102219048	102218196	N	NA	NA	NA	NA	NA	NA	Tsc22d2	111507
276	3	102220619	102222054	102220967	N	NA	NA	NA	NA	NA	NA	Tsc22d2	114643
277	3	102230652	102232830	102231958	N	NA	NA	NA	NA	NA	NA	Tsc22d2	124676
278	3	121723252	121724425	121723749	N	NA	NA	NA	NA	NA	NA	Tbl1xr1	245138
279	3	121727690	121730776	121729519	N	NA	NA	NA	NA	NA	NA	Tbl1xr1	249576
280	3	121908437	121916426	121909766	N	NA	NA	NA	NA	NA	NA	Tbl1xr1	430323
281	3	12617518	12618506	12617720	N	NA	Apoh,Prkca	NA	NA	NA	NA	Apoh	4967
282	3	12620937	12622085	12621690	N	NA	Apoh,Prkca	NA	NA	NA	NA	Apoh	8386
283	3	139696122	139766416	139765554	N	NA	NA	NA	NA	NA	NA	LOC144376373	54789
284	3	145797645	145798626	145798321	N	NA	Dtx3l,Parp9	NA	NA	NA	NA	Dtx3l	46112
285	3	159215053	159219363	159216119	N	NA	NA	NA	NA	NA	NA	Bbx	84307
