Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652335	tts_down_50k_SRR13652335	ratio_SRR13652335	last_exon_SRR13652336	tts_down_50k_SRR13652336	ratio_SRR13652336	last_exon_SRR13652337	tts_down_50k_SRR13652337	ratio_SRR13652337
XR_013426836.1	LOC144367450	10	-	107	111365262	111365368	-1.5514659596588212	1.7564478673653699e-19	1.1943845498084514e-17	35	198	5.7941	9	128	15.875	49	371	7.7083	9	21	2.5	30	77	2.6207	12	38	3.3636
XM_005316618.5	Aqp9	5	-	346	24101748	24102093	-0.631132498303956	2.2919320730869717e-18	1.4546128890525314e-16	170	426	2.5148	54	91	1.6981	293	246	0.839	130	142	1.093	207	172	0.8301	201	195	0.97
XM_078020004.1	Ubr2	8	-	436	108773559	108773994	-0.6677648015600381	2.220453340800308e-16	1.3211697377761833e-14	125	88	0.7016	148	63	0.4218	687	465	0.6764	144	62	0.4266	291	79	0.269	238	116	0.4852
XM_021725562.3	Mid1ip1	x	-	63	95413911	95413973	-2.621144652943072	6.442415562823416e-16	3.607752715181113e-14	3	287	143.0	1	57	NA	3	555	277.0	4	80	26.3333	18	230	13.4706	9	242	30.125
XM_005326014.4	Jun	11	-	2693	44829043	44831735	-0.740037553262691	9.22842482279464e-16	4.880811350722499e-14	184	45	0.2404	315	83	0.2611	629	258	0.4092	246	53	0.2122	222	42	0.1855	351	60	0.1686
XM_005327314.5	Zmat2	1	+	1095	120954025	120955119	-1.2051611046014676	1.0539885877217015e-15	5.281037555321368e-14	17	136	8.4375	9	302	37.625	28	404	14.9259	17	159	9.875	27	151	5.7692	42	232	5.6341
XM_005319223.4	Stk17a	2	-	384	133125258	133125641	-0.8170835834643558	1.6639331378223331e-15	7.920321736034305e-14	66	57	0.8615	87	88	1.0116	202	143	0.7065	94	48	0.5054	140	56	0.3957	150	78	0.5168
XM_040279475.2	LOC120883658	x	-	19	85325252	85325270	-1.3361405799569348	2.4181281659332864e-15	1.0962181018897564e-13	20	65	3.3684	12	43	3.8182	24	134	5.7826	11	39	3.8	40	34	0.8462	39	71	1.8421
XR_013428380.1;XR_013428379.1	LOC120884803	12	-	588	1147532	1148119	0.7904032060440698	9.162947551037215e-15	3.9650573039033766e-13	45	49	1.0909	83	63	0.7561	228	102	0.4449	86	73	0.8471	78	104	1.3377	113	142	1.2589
XM_078052864.1	LOC120888597	6	-	116	12654611	12654726	1.6667996396117915	5.578194536950167e-14	2.308887477902852e-12	5	168	41.75	9	62	7.625	73	234	3.2361	3	95	47.0	6	128	25.4	11	155	15.4
XM_005340928.5;XM_005340927.5	Rmi1	4	-	197	128861020	128861216	1.2349044361212418	6.453426080405842e-14	2.5598590118943174e-12	17	33	2.0	33	26	0.7812	119	38	0.3136	22	31	1.4286	21	33	1.6	26	52	2.04
XM_078021367.1;XM_078021366.1	LOC144366698	9	-	237	51754286	51754522	-0.9910377898945394	8.266412926685291e-14	3.147850042481759e-12	35	96	2.7941	15	29	2.0	65	427	6.6562	24	108	4.6522	38	37	0.973	49	70	1.4375
XR_013434668.1	LOC144375182	1	-	62	39848186	39848247	-1.6047182344336413	8.82215143385334e-14	3.230264678857069e-12	43	30	0.6905	31	8	0.2333	36	77	2.1714	22	4	0.1429	29	14	0.4643	36	7	0.1714
XM_078019704.1	LOC120889078	8	-	402	79236193	79236594	1.5174406982948079	3.26765978767535e-13	1.1521526362470123e-11	16	9	0.5333	28	6	0.1852	59	12	0.1897	25	32	1.2917	45	33	0.7273	75	43	0.5676
XM_078042477.1	Znf207	3	-	187	39862450	39862636	-0.5642002808426342	4.913572736630118e-13	1.67061473045424e-11	67	329	4.9697	58	211	3.6842	188	666	3.5561	91	259	2.8667	110	259	2.367	133	371	2.803
XM_005342494.5	Psmb1	8	-	170	347244	347413	-0.6586336431212562	6.716848933775878e-13	2.2049793741222883e-11	54	182	3.4151	48	197	4.1702	142	374	2.6454	36	125	3.5429	122	182	1.4959	105	211	2.0192
XM_005327501.5	Pxdc1	8	-	962	136756475	136757436	-0.6337445300859607	1.0905275082354992e-12	3.460607292800651e-11	100	90	0.899	76	98	1.2933	227	209	0.9204	77	69	0.8947	207	93	0.4466	168	123	0.7305
XM_078019377.1	Marcks	8	-	525	48621970	48622494	1.2798339670752434	2.908006488287983e-12	8.930394118871483e-11	40	19	0.4615	50	10	0.1837	81	22	0.2625	29	8	0.25	34	35	1.0303	45	41	0.9091
XM_078017686.1	Cwc22	7	-	266	147389437	147389702	1.128795088736369	3.012757704286738e-12	8.962954170253046e-11	17	34	2.0625	38	23	0.5946	79	73	0.9231	22	35	1.619	22	52	2.4286	27	71	2.6923
XM_040291540.2	Asns	2	+	345	197179544	197179888	2.509855169009587	4.370214760338581e-12	1.260740742982524e-10	3	15	7.0	7	13	2.0	3	14	6.5	4	62	20.3333	1	42	NA	6	85	16.8
XM_078044483.1	C3H21orf91	3	-	139	192868690	192868828	-1.397564183175939	4.683777214800333e-12	1.3114576201440933e-10	15	99	7.0	8	31	4.2857	3	147	73.0	6	50	9.8	31	66	2.1667	24	85	3.6522
XM_013365124.4	Zkscan8	8	-	158	128875630	128875787	-0.8518964710970127	2.3536267758152924e-11	6.401864830217595e-10	25	78	3.2083	15	59	4.1429	102	117	1.1485	33	61	1.875	71	55	0.7714	79	86	1.0897
XM_005324146.5	Isoc1	1	-	425	132222593	132223017	-0.8683618280021592	3.2905798449226595e-11	8.701755589906589e-10	27	145	5.5385	27	113	4.3077	51	277	5.52	14	72	5.4615	50	112	2.2653	53	127	2.4231
XM_005321354.5	Ust	8	-	768	17252364	17253131	1.1360283744621698	3.9091486767414334e-11	1.0058133892588768e-09	14	17	1.2308	28	22	0.7778	44	57	1.3023	20	41	2.1053	23	82	3.6818	36	69	1.9429
XM_078047589.1;XM_078047588.1	Pum3	4	-	154	145733664	145733817	-1.6948796387624907	4.909671996337574e-11	1.1728877134868686e-09	6	26	5.0	4	36	11.6667	5	78	19.25	12	35	3.0909	19	42	2.2778	17	48	2.9375
XM_078051566.1;XM_021726499.3	Timd4	1	-	110	168463594	168463703	1.7969178568845057	4.928099636499448e-11	1.1728877134868686e-09	6	50	9.8	15	50	3.5	15	43	3.0	3	46	22.5	4	69	22.6667	7	77	12.6667
XM_005322926.5	Chchd7	7	-	159	72124464	72124622	-0.9845689804250344	4.7565343131848625e-11	1.1728877134868686e-09	47	36	0.7609	52	19	0.3529	14	60	4.5385	37	15	0.3889	54	39	0.717	120	53	0.437
XM_040280378.1;XM_005328694.4	Tbk1	6	-	131	50180273	50180403	-1.0466101941203085	5.3052684913656095e-11	1.2318574643366e-09	16	80	5.2667	15	52	3.6429	21	142	7.05	27	63	2.3846	35	81	2.3529	42	111	2.6829
XR_013438209.1	LOC106145029	4	-	188	183570146	183570333	-1.1949816074502428	7.149471201411711e-11	1.6205468056533212e-09	15	111	7.8571	10	107	11.7778	5	73	18.0	21	93	4.6	41	180	4.475	59	244	4.1897
XM_078021370.1	LOC144366700	9	-	784	51829802	51830585	-0.5899828746477962	1.3807874876083068e-10	3.056999274890949e-09	174	75	0.4277	68	38	0.5522	256	214	0.8353	162	74	0.4534	165	57	0.3415	252	109	0.4303
XM_005324345.4	Sf3b1	7	-	170	162076705	162076874	-0.7402570831046387	1.487270833573968e-10	3.2179132580964032e-09	36	147	4.1714	29	104	3.6786	46	263	5.8222	40	109	2.7692	66	154	2.3538	69	208	3.0441
XR_013437756.1	LOC144377095	4	-	442	50507811	50508252	2.2392491522175058	3.6065879112227855e-10	7.629937092186871e-09	2	2	1.0	8	17	2.2857	6	1	0.0	3	1	0.0	4	23	7.3333	3	91	45.0
XM_005329279.5	Naf1	14	-	552	16665180	16665731	-0.9362218966297089	4.1284231130360655e-10	8.54404087741377e-09	39	28	0.7105	23	26	1.1364	52	63	1.2157	39	26	0.6579	95	39	0.4043	87	49	0.5581
XM_005322350.5	Pah	6	+	621	17274553	17275173	0.4846103345989263	4.4385416191886814e-10	8.990407705250265e-09	215	633	2.9533	151	583	3.88	615	1790	2.9137	33	186	5.7812	62	255	4.1639	86	356	4.1765
XR_013423769.1	LOC144365394	7	-	4453	7627751	7632203	1.150038364796978	4.973445402872492e-10	9.864000049030442e-09	91	14	0.1444	50	6	0.102	109	11	0.0926	64	25	0.381	149	32	0.2095	167	44	0.259
XM_005324360.5	Nabp1	7	+	1344	157223391	157224734	0.8787697548804754	6.733368070317187e-10	1.3081972250901962e-08	28	255	9.4074	72	511	7.1831	95	460	4.883	11	115	11.4	27	252	9.6538	11	215	21.4
XM_005336762.5	Nsun3	3	-	696	171560791	171561486	-0.7150813494458954	7.408579199205974e-10	1.4105934795288174e-08	47	73	1.5652	22	66	3.0952	83	113	1.3659	62	75	1.2131	81	69	0.85	104	116	1.1165
XM_078043354.1	Anapc13	3	-	191	81685529	81685719	1.3536849710999064	9.344159477052927e-10	1.6784226079536578e-08	16	14	0.8667	15	8	0.5	27	28	1.0385	10	31	3.3333	15	34	2.3571	26	40	1.56
XM_005342122.4	LOC101975961	10	+	562	110911647	110912208	-1.4867546101889122	9.101304928609429e-10	1.6784226079536578e-08	22	61	2.8571	4	7	2.0	28	71	2.5926	7	7	1.0	26	21	0.8	14	13	0.9231
XM_005329225.5;XM_021729065.3;XM_078031029.1	Irf2	14	-	191	33810860	33811050	-0.6284753797561796	9.228643368380149e-10	1.6784226079536578e-08	44	155	3.5814	35	122	3.5588	97	422	4.3854	48	128	2.7021	64	157	2.4762	89	213	2.4091
XM_078018143.1	Pid1	7	-	171	189429257	189429427	0.8764715731621459	1.111372748170025e-09	1.9593089930701182e-08	20	112	5.8421	6	50	9.8	68	123	1.8209	25	146	6.0417	30	172	5.8966	37	239	6.6111
XM_040270925.2;XM_013362638.4	Zfx	x	-	1451	108542033	108543483	-0.7146818336567745	1.303388294218646e-09	2.256046647447547e-08	54	64	1.1887	43	25	0.5714	155	113	0.7273	75	45	0.5946	101	48	0.47	153	67	0.4342
XM_078015709.1;XM_078015708.1	Zmym2	6	-	156	123318271	123318426	1.1998530710328887	1.416564770143269e-09	2.4081601092435573e-08	18	81	4.7059	15	79	5.5714	28	156	5.7407	2	94	93.0	15	107	7.5714	14	154	11.7692
XM_078020318.1;XM_078020317.1	LOC120888999	8	-	177	120654314	120654490	-0.7604460835226982	1.6190069467636838e-09	2.7040256374018017e-08	104	140	1.3495	9	26	3.125	71	161	2.2857	40	54	1.359	102	76	0.7426	35	55	1.5882
XM_005337655.5	Bcas2	11	-	163	107331037	107331199	-0.49670919885814885	2.3128388356691113e-09	3.7962458130292997e-08	94	127	1.3548	89	92	1.0341	288	220	0.7631	118	84	0.7094	151	101	0.6667	237	167	0.7034
XM_078029404.1	Ttc27	12	-	91	96180279	96180369	-1.3283238978090697	2.5062847436102006e-09	4.044039111723578e-08	10	15	1.5556	6	23	4.4	19	32	1.7222	17	15	0.875	40	26	0.641	34	32	0.9394
XR_013423826.1	LOC144365420	7	-	380	15565968	15566347	-0.9035252560511736	4.493106677861116e-09	7.129062595539638e-08	24	236	10.2174	28	58	2.1111	57	161	2.8571	15	28	1.9286	33	47	1.4375	17	51	3.125
XR_013437674.1	Pfdn1	1	-	118	120627809	120627926	-1.0502087365899808	9.348830695073614e-09	1.4590306265098494e-07	25	25	1.0	19	22	1.1667	11	67	6.6	18	16	0.8824	40	23	0.5641	40	54	1.359
XM_005324624.4	Lnpk	7	-	137	143922378	143922514	-1.2415278349828385	9.507955621756575e-09	1.4599312503084288e-07	18	22	1.2353	36	11	0.2857	73	29	0.3889	13	7	0.5	61	6	0.0833	64	15	0.2222
XM_005328629.5	Ca2	7	-	174	47518469	47518642	1.1183822769240546	1.0782315247909315e-08	1.629327637461852e-07	24	19	0.7826	34	38	1.1212	70	89	1.2754	7	16	2.5	19	35	1.8889	14	43	3.2308
XM_078017888.1;XM_078017893.1	Ino80d	7	-	272	170002363	170002634	1.0152991632753696	1.124167333357864e-08	1.6721989083698228e-07	9	31	3.75	29	14	0.4643	107	49	0.4528	18	27	1.5294	20	36	1.8421	26	38	1.48
XM_005334960.5	Gpatch2	10	-	185	44365990	44366174	0.8699559202128074	1.689331291057422e-08	2.4742205985948706e-07	31	32	1.0333	20	15	0.7368	104	68	0.6505	26	40	1.56	39	49	1.2632	48	71	1.4894
XM_078049285.1	LOC110598451	5	-	240	9538460	9538699	1.2489022105746308	1.8376139917878525e-08	2.650618969972781e-07	13	17	1.3333	9	21	2.5	35	49	1.4118	9	26	3.125	14	56	4.2308	12	51	4.5455
XM_078021298.1	Chic2	9	-	488	39357396	39357883	-0.453027202704169	2.7697314196546373e-08	3.935498972404798e-07	109	78	0.713	103	97	0.9412	337	214	0.6339	117	81	0.6897	277	102	0.3659	261	162	0.6192
XM_021728028.3	Znf644	11	-	338	74432420	74432757	1.0241140979619543	3.9673667104306084e-08	5.554313394602852e-07	23	71	3.1818	21	29	1.4	44	110	2.5349	7	50	8.1667	16	53	3.4667	15	72	5.0714
XM_005335964.4	Fancf	4	+	2579	40325369	40327947	-0.5894234730716197	4.5439781180946634e-08	6.26937270786394e-07	116	49	0.4174	74	40	0.5342	193	91	0.4688	155	58	0.3701	162	39	0.236	222	73	0.3258
XM_005329444.4	Slc30a1	10	-	1245	39026554	39027798	-0.548667837194511	6.06854455035418e-08	8.253220588481683e-07	135	97	0.7164	74	33	0.4384	304	173	0.5677	100	26	0.2525	166	65	0.3879	173	90	0.5174
XR_013425116.1	LOC144366185	8	-	246	102007760	102008005	1.757333074890277	7.294109715566752e-08	9.780271055238799e-07	25	4	0.125	21	4	0.15	35	4	0.0882	9	5	0.5	25	13	0.5	21	10	0.45
XM_078049674.1;XM_078049672.1	Sqor	5	-	332	35190614	35190945	-0.7851271676037883	8.524246250497971e-08	1.1270947820102873e-06	50	30	0.5918	41	32	0.775	76	67	0.88	45	25	0.5455	87	30	0.3372	76	35	0.4533
XM_005325685.5	Mbnl1	3	-	387	100290630	100291016	0.5833767653132683	1.097668413702318e-07	1.4314799038967214e-06	64	138	2.1746	23	92	4.1364	128	165	1.2913	36	108	3.0571	43	151	3.5714	70	178	2.5652
XM_005335986.5;XM_005335987.5	Sox9	3	-	815	8476703	8477517	-0.7431850023368264	1.2414239733967153e-07	1.5970751657752337e-06	297	48	0.1588	252	14	0.0518	498	56	0.1107	160	9	0.0503	487	36	0.072	316	20	0.0603
XM_005330746.4	Ets1	4	-	417	111918068	111918484	0.967845782535158	1.4978892398318667e-07	1.9013207417599161e-06	5	31	7.5	18	39	2.2353	48	95	2.0	14	51	3.8462	18	82	4.7647	20	131	6.8421
XM_078052959.1;XM_078052958.1	Nedd1	6	-	81	22306117	22306197	-0.9193615123778656	1.5505158072400415e-07	1.917001361678597e-06	25	24	0.9583	29	14	0.4643	40	57	1.4359	23	21	0.9091	56	25	0.4364	67	23	0.3333
XM_078050096.1	Tmem229b	5	-	129	62218378	62218506	1.5694780193545486	1.5477188022543456e-07	1.917001361678597e-06	4	26	8.3333	25	36	1.4583	45	44	0.9773	5	15	3.5	3	23	11.0	3	18	8.5
XM_021731147.3	LOC101961272	2	-	301	213216773	213217073	-0.6545613407237423	1.6039675269827668e-07	1.9576629303687104e-06	84	48	0.5663	77	41	0.5263	256	132	0.5137	72	28	0.3803	94	33	0.3441	121	36	0.2917
XR_013426952.1	LOC144367503	10	-	502	124927521	124928022	0.5945807738423062	2.2993135344867e-07	2.7708183352295425e-06	31	328	10.9	27	120	4.5769	54	321	6.0377	46	349	7.7333	35	445	13.0588	46	506	11.2222
XM_005328838.4	Apool	x	-	100	61536355	61536454	-1.378956453381576	3.196059831987099e-07	3.8033112000646473e-06	6	24	4.6	7	11	1.6667	3	42	20.5	8	15	2.0	12	35	3.0909	28	26	0.9259
XM_005316737.4	Rplp1	5	-	201	14334643	14334843	0.47108525708960886	4.0877674132341425e-07	4.8043883671591405e-06	80	97	1.2152	75	112	1.5	203	170	0.8366	73	94	1.2917	83	115	1.3902	97	187	1.9375
XM_078051099.1;XM_021722947.3	Efl1	5	-	109	133207535	133207643	-1.0210255077083745	4.140881935829979e-07	4.807462930378219e-06	12	31	2.7273	11	41	4.0	14	88	6.6923	14	29	2.1538	23	52	2.3182	25	42	1.7083
XM_078015132.1	Aebp2	6	-	854	88674228	88675081	-0.9348301540670513	5.408577443693868e-07	6.203573164333208e-06	21	19	0.9	33	21	0.625	55	49	0.8889	21	12	0.55	62	18	0.2787	49	24	0.4792
XR_013427387.1	LOC144367852	11	-	110	5863953	5864062	2.2508365577239475	6.467867770988303e-07	7.33025014045341e-06	3	1	0.0	4	2	0.3333	4	3	0.6667	6	10	1.8	12	32	2.8182	12	45	4.0
XM_040279244.2	Igf1	6	+	6192	17638933	17645124	0.5092873346610777	6.899725396391961e-07	7.727692443958996e-06	35	20	0.5588	355	141	0.3955	130	37	0.2791	110	48	0.4312	142	70	0.4894	283	184	0.6489
XM_005330860.4	Acbd7	10	+	2147	87383247	87385393	1.8917933396887314	7.263721903150461e-07	8.04077122302237e-06	5	2	0.25	7	6	0.8333	28	8	0.2593	3	7	3.0	10	6	0.5556	2	11	10.0
XM_005325758.5	LOC101976546	9	+	1678	103352050	103353727	-0.2179042331923801	8.057381337082915e-07	8.816812681497627e-06	377	940	2.4973	131	349	2.6769	707	1673	2.3683	313	629	2.0128	375	827	2.2086	379	811	2.1429
XM_013365368.4	Cd36	2	-	136	170634366	170634501	-0.40336949318417703	8.522252856698542e-07	9.219528090428423e-06	88	142	1.6207	67	73	1.0909	306	269	0.8787	123	88	0.7131	169	150	0.8869	198	177	0.8934
XM_078050007.1	Ppm1a	5	+	902	55882286	55883187	-0.7334724162276067	1.071750615482418e-06	1.1464118943137775e-05	19	71	3.8889	10	48	5.2222	54	171	3.2075	29	51	1.7857	39	80	2.0789	41	113	2.8
XM_078016933.1	Tmem64	7	+	3773	43557004	43560776	-0.9804889944876348	1.1114588649889446e-06	1.175676488299417e-05	12	25	2.1818	10	32	3.4444	33	77	2.375	17	19	1.125	24	34	1.4348	25	30	1.2083
XM_078040384.1	Sdhaf3	2	-	265	197722621	197722885	-0.6707373723900554	1.1380608715004082e-06	1.1905867578773502e-05	34	37	1.0909	45	17	0.3636	109	105	0.963	43	32	0.7381	107	37	0.3396	83	44	0.5244
XM_078022076.1;XM_005327561.5	Usp38	9	-	1231	130376141	130377371	-0.9450325469539157	1.212661651645353e-06	1.2548411873547565e-05	36	19	0.5143	41	18	0.425	71	54	0.7571	31	12	0.3667	43	17	0.381	53	9	0.1538
XM_078032174.1	Cebpa	15	+	2624	19174342	19176965	-0.22217573858633544	1.3288229653375815e-06	1.3602574870982555e-05	470	493	1.049	330	278	0.8419	1210	1105	0.9132	162	141	0.8696	727	552	0.759	513	422	0.8223
XM_078021044.1;XM_078021047.1;XM_078021045.1	Rab28	9	-	276	8679090	8679365	-0.6323798930685703	1.5177732708445028e-06	1.5371490998340072e-05	44	50	1.1395	54	23	0.4151	143	76	0.5282	54	31	0.566	141	39	0.2714	85	40	0.4643
XM_078042913.1	LOC144376174	3	-	1367	57244948	57246314	0.7900704130870523	1.5506113583134555e-06	1.5538758032783258e-05	54	26	0.4717	48	35	0.7234	46	27	0.5778	34	49	1.4545	28	21	0.7407	37	34	0.9167
XM_078017234.1	Insig2	7	+	460	96511233	96511692	-0.7930562805009536	1.6053337871709583e-06	1.5919560056112002e-05	14	107	8.1538	11	174	17.3	17	224	13.9375	16	100	6.6	30	260	8.931	48	277	5.8723
XM_040277656.2;XM_078022891.1;XM_078022888.1;XM_078022887.1;XM_078022886.1;XM_078022889.1;XM_078022884.1;XM_078022885.1	Tlr5	10	-	150	49177610	49177759	0.9822952006628732	1.8408428430703021e-06	1.8066828727865235e-05	14	42	3.1538	16	50	3.2667	34	176	5.303	8	53	7.4286	10	63	6.8889	11	109	10.8
XR_013424148.1	LOC120892777	7	-	4179	142169595	142173773	-0.5937019365304549	1.9015877467499468e-06	1.847256668271377e-05	72	40	0.5493	49	55	1.125	130	147	1.1318	57	38	0.6607	58	42	0.7193	91	44	0.4778
XM_005333286.3	LOC101975801	9	-	762	51916021	51916782	-0.5975727002894876	2.130792510763054e-06	2.0490045154004317e-05	91	54	0.5889	49	24	0.4792	102	95	0.9307	65	45	0.6875	97	30	0.3021	113	48	0.4196
XM_005338430.5	Thnsl2	12	-	169	1266323	1266491	-0.44863699232519305	2.9540494282092414e-06	2.8122550556551977e-05	49	448	9.3125	58	486	8.5088	109	1598	14.787	26	223	8.88	63	467	7.5161	63	486	7.8226
XM_040285919.2;XM_040285917.2	Aptx	4	-	93	172407284	172407376	-1.5041508394443095	3.5133568639698934e-06	3.2791330730385676e-05	2	30	29.0	4	25	8.0	3	54	26.5	8	33	4.5714	16	51	3.3333	11	59	5.8
XM_078044306.1	Alcam	3	-	778	161938217	161938994	0.4551750532989362	3.4852595731998376e-06	3.2791330730385676e-05	77	99	1.2895	79	76	0.9615	161	109	0.675	58	95	1.6491	99	101	1.0204	109	137	1.2593
XM_078021950.1;XM_078021946.1;XM_078021947.1;XM_078021949.1;XM_078021948.1;XM_078021945.1	Rapgef2	9	-	375	116726213	116726587	1.4355571218664152	3.602662633037274e-06	3.329839637525713e-05	3	52	25.5	9	18	2.125	10	60	6.5556	2	36	35.0	5	65	16.0	5	73	18.0
XM_021733547.3	Slc16a7	6	-	252	54176731	54176982	0.6809383014525366	4.363170971050482e-06	3.993979581192364e-05	17	69	4.25	14	38	2.8462	38	91	2.4324	20	122	6.3684	52	153	2.9804	46	288	6.3778
XM_005315678.5;XM_021726618.3	Cetn3	1	-	159	98973620	98973778	0.6834936841686031	4.455341047076981e-06	4.039509216016463e-05	41	23	0.55	52	14	0.2549	134	37	0.2707	57	28	0.4821	94	43	0.4516	80	56	0.6962
XR_013423421.1;XR_013423422.1;XR_013423426.1;XR_013423424.1;XR_013423425.1;XR_013423423.1;XR_013423420.1;XR_013423419.1	Cog6	6	-	257	166443009	166443265	1.6328514330737294	4.5311301767632875e-06	4.069467856866651e-05	18	1	0.0	19	4	0.1667	40	6	0.1282	12	6	0.4545	19	12	0.6111	19	4	0.1667
XM_005335216.4	Amer1	x	-	194	68309014	68309207	0.7986966978739786	4.802715517254409e-06	4.2730702546039226e-05	22	27	1.2381	25	18	0.7083	74	46	0.6164	24	28	1.1739	25	36	1.4583	31	47	1.5333
XR_013429519.1;XR_013429514.1	LOC144369767	2	-	91	22117846	22117936	-1.333722623117526	5.179586227446032e-06	4.565709341230206e-05	3	24	11.5	3	20	9.5	6	48	9.4	10	39	4.2222	17	50	3.0625	29	75	2.6429
XM_078040035.1	Agmo	2	+	734	158472216	158472949	0.7278081135550504	5.7128679363293295e-06	4.9895874086105703e-05	23	94	4.2273	13	72	5.9167	36	178	5.0571	18	119	6.9412	16	169	11.2	28	204	7.5185
XM_078021466.1	Rasgef1b	9	-	164	62296493	62296656	-0.2935236085981911	7.670528985299047e-06	6.638494176367902e-05	208	183	0.8792	161	131	0.8125	413	315	0.7621	181	156	0.8611	340	172	0.5044	315	218	0.6911
XM_005323964.3	Otc	x	-	212	95808373	95808584	-0.39326307525689985	8.736310476905477e-06	7.492763580192806e-05	65	237	3.6875	35	81	2.3529	161	807	5.0375	65	167	2.5938	96	304	3.1895	93	282	3.0543
XM_005329806.5	Perp	8	+	1448	26426277	26427724	0.6644085214982052	8.959613639500543e-06	7.615671593575462e-05	30	63	2.1379	24	28	1.1739	67	125	1.8788	19	58	3.1667	30	75	2.5517	33	91	2.8125
XM_078031321.1	LOC144370497	14	+	1475	70452757	70454231	1.4857160591334584	9.71574671677395e-06	8.185301658733452e-05	3	11	5.0	24	8	0.3043	4	47	15.3333	1	7	NA	5	18	4.25	3	22	10.5
XM_005337650.4	Olfml3	11	+	1302	106773469	106774770	1.54622972925421	9.853737169663606e-06	8.22873489957873e-05	11	16	1.5	9	13	1.5	11	13	1.2	1	18	NA	3	11	5.0	7	14	2.1667
