chr	Gene	Transcript1	Transcript2	TSS_transcript1	TSS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
12	Ttc7a	XM_078029254.1	XM_005324494.5	84006685	84044584	51.333	51.333	25.333	2.026	19.667	3.0	19.667	0.153	0.18318026766059578	8.087545062370018e-19	1.9989969871140987e-17	transcript1	transcript2	isoform_switched
12	Ttc7a	XM_078029254.1	XM_078029250.1;XM_078029248.1	84006685	84044585	51.333	51.333	25.333	2.026	19.667	3.0	19.667	0.153	0.18318026766059578	8.087545062370018e-19	1.9989969871140987e-17	transcript1	transcript2	isoform_switched
12	Ttc7a	XM_078029254.1	XM_078029251.1	84006685	84044586	51.333	51.333	25.333	2.026	19.667	3.0	19.667	0.153	0.18318026766059578	8.087545062370018e-19	1.9989969871140987e-17	transcript1	transcript2	isoform_switched
8	Esr1	XM_021723909.3	XM_078018885.1	14314581	14316917	19.667	11.333	19.667	0.576	17.333	17.333	3.667	4.727	7.018973941172564	5.831980554134819e-17	1.2948973772740023e-15	transcript2	transcript1	isoform_switched
3	Mbnl1	XM_005325685.5	XM_013358799.3	100291016	100317960	53.667	53.667	27.333	1.963	39.333	30.333	39.333	0.771	0.406563272134211	1.2116010803442848e-14	2.479995961329708e-13	transcript1	transcript2	isoform_switched
2	LOC101973937	XM_078037728.1	XM_078037730.1	12801609	12826362	100.333	57.0	100.333	0.568	48.667	48.667	43.333	1.123	2.002923366933796	1.5453073938502636e-14	3.114388747605916e-13	transcript2	transcript1	isoform_switched
2	LOC101973937	XM_078037728.1	XM_078037729.1	12801609	12826326	100.333	57.0	100.333	0.568	48.667	48.667	43.667	1.115	1.9869282103508703	2.895135284127495e-14	5.195379756447972e-13	transcript2	transcript1	isoform_switched
7	Enpp2	XM_078016746.1;XM_078016748.1;XM_078016749.1;XM_078016751.1;XM_078016747.1;XM_078016750.1;XM_078016752.1	XM_013356833.4	19589132	19590409	33.667	33.667	14.333	2.349	30.667	22.333	30.667	0.728	0.3464564553976657	1.0597200853212184e-13	1.7572573566718938e-12	transcript1	transcript2	isoform_switched
3	Mbnl1	XM_005325685.5	XM_078043536.1	100291016	100317974	53.667	53.667	28.667	1.872	39.333	30.333	39.333	0.771	0.4336691249790881	3.7716735160523413e-13	6.099867044479713e-12	transcript1	transcript2	isoform_switched
3	Mbnl1	XM_005325685.5	XM_078043544.1;XM_078043534.1	100291016	100317975	53.667	53.667	28.667	1.872	39.333	30.333	39.333	0.771	0.4336691249790881	3.7716735160523413e-13	6.099867044479713e-12	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052294.1	601506	608206	46.0	46.0	39.333	1.17	47.0	22.333	47.0	0.475	0.43548621434264684	6.159671699778814e-13	9.606154674655055e-12	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052293.1	601506	608221	46.0	46.0	39.333	1.17	47.0	22.333	47.0	0.475	0.43548621434264684	6.159671699778814e-13	9.606154674655055e-12	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052297.1	601506	608261	46.0	46.0	39.333	1.17	47.0	22.333	47.0	0.475	0.43548621434264684	6.159671699778814e-13	9.606154674655055e-12	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052296.1	601506	608240	46.0	46.0	39.667	1.16	47.0	22.333	47.0	0.475	0.44045973948066286	1.2059510363187175e-12	1.8369719274157207e-11	transcript1	transcript2	isoform_switched
10	Traf7	XM_013364066.4;XM_013364067.4	XM_078024449.1;XM_078024448.1;XM_078024451.1	137282447	137287583	43.333	26.667	43.333	0.615	26.0	26.0	14.333	1.814	2.697140475651275	1.6462669261910654e-12	2.415461148576716e-11	transcript2	transcript1	isoform_switched
5	Tssk4	XR_013439070.1	XR_013439069.1	89525468	89532358	48.667	24.667	48.667	0.507	31.667	31.667	26.0	1.218	2.150940546735486	6.53897335694887e-10	6.563817640267382e-09	transcript2	transcript1	isoform_switched
2	Acacb	XM_078038944.1;XM_078038945.1	XM_078038949.1;XM_078038948.1	76108854	76133006	69.667	64.333	69.667	0.923	76.333	76.333	50.333	1.517	1.7006193455776948	6.671106100348195e-10	6.6205674177697996e-09	transcript2	transcript1	isoform_switched
7	Myo1b	XM_078017761.1;XM_040294619.2	XM_078017763.1	156833824	156852979	87.667	87.667	69.667	1.258	98.333	83.0	98.333	0.844	0.6213840742967272	8.93186716354268e-10	8.417802866360367e-09	transcript1	transcript2	isoform_switched
6	Spata13	XM_078015687.1	XM_078015682.1	119732520	119754928	24.333	24.333	19.667	1.237	26.333	13.667	26.333	0.519	0.3804308563425291	2.564428174854666e-09	2.16735542519975e-08	transcript1	transcript2	isoform_switched
3	Fam117a	XM_005321689.3	XM_040268907.2	25350438	25369203	81.333	81.333	57.333	1.419	67.333	52.667	67.333	0.782	0.6012380120366266	5.037984711934429e-09	4.0739259090333964e-08	transcript1	transcript2	isoform_switched
3	Fam117a	XM_040268906.2	XM_040268907.2	25350478	25369203	81.333	81.333	57.333	1.419	67.333	52.667	67.333	0.782	0.6012380120366266	5.037984711934429e-09	4.0739259090333964e-08	transcript1	transcript2	isoform_switched
7	Aard	XM_005316366.4	XR_013423840.1;XR_005737742.2	21923742	21972269	45.333	45.333	24.667	1.838	51.0	48.667	51.0	0.954	0.5425684055356828	1.058177080829093e-08	7.868438815622707e-08	transcript1	transcript2	isoform_switched
9	LOC101954857	XM_040293097.2;XM_078021933.1	XM_005337521.5	113069837	113154952	52.0	42.0	52.0	0.808	60.333	60.333	42.0	1.436	1.7922848978762347	1.3895220822510565e-08	1.0169128087982592e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022037.1;XM_078022038.1	XM_040293198.2	123879743	123964671	33.333	21.667	33.333	0.65	17.333	17.333	9.333	1.857	2.552242982017365	3.1260167430295345e-08	2.2090913034192137e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022037.1;XM_078022038.1	XM_040293199.2	123879743	123964672	33.333	21.667	33.333	0.65	17.333	17.333	9.333	1.857	2.5339008589379324	4.131034094326007e-08	2.848239296614247e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022043.1	XM_040293198.2	123879744	123964671	33.333	22.0	33.333	0.66	17.333	17.333	9.333	1.857	2.5254546316403537	4.4725751159720016e-08	3.0675776973420534e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022043.1	XM_040293199.2	123879744	123964672	33.333	22.0	33.333	0.66	17.333	17.333	9.333	1.857	2.507356019190027	5.8946450083048386e-08	3.9197893202433185e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022040.1	XM_040293198.2	123880095	123964671	33.333	22.333	33.333	0.67	17.333	17.333	9.333	1.857	2.4768634224787416	7.76761102770727e-08	4.988024728576727e-07	transcript2	transcript1	isoform_switched
15	Kifc3	XM_040279724.2;XM_021721502.3;XM_040279723.2	XM_078032399.1	36058896	36063173	44.333	31.333	44.333	0.707	48.333	48.333	40.0	1.208	1.8326835969358508	9.90124717771581e-08	6.266006668023049e-07	transcript2	transcript1	isoform_switched
9	Sh3d19	XM_078022040.1	XM_040293199.2	123880095	123964672	33.333	22.333	33.333	0.67	17.333	17.333	9.333	1.857	2.4591139743834183	1.0195579852057811e-07	6.421254618363333e-07	transcript2	transcript1	isoform_switched
9	Klf3	XM_078021186.1	XM_078021187.1	29192292	29202192	33.667	33.667	21.333	1.578	35.333	29.333	35.333	0.83	0.49593445584138607	1.0957091473722014e-07	6.867842024198966e-07	transcript1	transcript2	isoform_switched
4	Dab2ip	XM_078048129.1	XM_005320919.5;XM_078048128.1	197573881	197691322	17.667	17.667	9.667	1.828	22.667	16.0	22.667	0.706	0.3914643344309558	1.1453460412790252e-07	7.10188665728767e-07	transcript1	transcript2	isoform_switched
3	Mis12	XM_040269508.2	XM_005337334.5	49765466	49766531	66.333	66.333	31.333	2.117	18.667	15.667	18.667	0.839	0.48344632650286246	3.3568757578554365e-07	1.9019272721337761e-06	transcript1	transcript2	isoform_switched
7	LOC106145343	XR_013424502.1	XR_013424500.1	198318298	198321652	26.667	26.667	16.0	1.667	24.0	15.667	24.0	0.653	0.4461312714749657	4.535646078819666e-07	2.4451425363184207e-06	transcript1	transcript2	isoform_switched
3	Per1	XM_005332841.5	XM_021731383.3;XM_040269413.2;XM_013361755.4	52430900	52434995	137.0	110.333	137.0	0.805	77.0	77.0	63.667	1.209	1.4545175956929797	4.988364541625554e-07	2.6139030198117897e-06	transcript2	transcript1	isoform_switched
3	Mis12	XM_040269508.2	XM_040269507.2	49765466	49766533	66.333	66.333	32.333	2.052	18.667	15.667	18.667	0.839	0.493167222161956	7.031530276634721e-07	3.584165238284624e-06	transcript1	transcript2	isoform_switched
x	Mid1ip1	XM_078034968.1	XM_021725562.3	95411340	95413973	54.667	54.667	48.0	1.139	56.333	43.667	56.333	0.775	0.636995123537223	4.709785791914843e-06	2.1724716152846637e-05	transcript1	transcript2	isoform_switched
15	Il4i1	XM_078031601.1;XM_078031602.1;XM_078031604.1	XM_040278996.2	6323816	6354508	24.333	16.667	24.333	0.685	16.0	16.0	11.0	1.455	2.1701360627224706	9.663641797270889e-06	4.164266695534495e-05	transcript2	transcript1	isoform_switched
15	Il4i1	XM_078031608.1	XM_040278996.2	6323821	6354508	24.333	16.667	24.333	0.685	16.0	16.0	11.0	1.455	2.1701360627224706	9.663641797270889e-06	4.164266695534495e-05	transcript2	transcript1	isoform_switched
6	Slc38a4	XM_040280771.2	XM_040280772.2	67478417	67484907	21.667	15.333	21.667	0.708	20.0	20.0	13.0	1.538	2.1000228248376396	1.2515071181474231e-05	5.171843295814272e-05	transcript2	transcript1	isoform_switched
6	Slc38a4	XM_040280773.2	XM_040280772.2	67478639	67484907	21.667	15.333	21.667	0.708	20.0	20.0	13.0	1.538	2.1000228248376396	1.2515071181474231e-05	5.171843295814272e-05	transcript2	transcript1	isoform_switched
4	Gas2	XM_078046336.1	XM_078046338.1	40291741	40298325	26.667	26.667	17.0	1.569	30.333	24.333	30.333	0.802	0.5794391797190882	6.723727116661354e-05	0.00024331719676315948	transcript1	transcript2	isoform_switched
3	Rara	XM_005321819.4	XM_005321817.3	21782266	21802989	34.333	34.333	23.667	1.451	15.667	10.333	15.667	0.66	0.5185132015276221	6.844291339853695e-05	0.00024699784174127655	transcript1	transcript2	isoform_switched
3	Tbc1d16	XM_078041499.1;XM_013361674.4;XM_040268373.2	XM_078041503.1	2488264	2510311	19.667	19.667	11.667	1.686	27.667	21.667	27.667	0.783	0.5045829160131419	8.135979463016533e-05	0.00029041234595508607	transcript1	transcript2	isoform_switched
3	Tbc1d16	XM_078041501.1	XM_078041503.1	2488464	2510311	19.667	19.667	11.667	1.686	27.667	21.667	27.667	0.783	0.5045829160131419	8.135979463016533e-05	0.00029041234595508607	transcript1	transcript2	isoform_switched
2	LOC101976365	XM_078037733.1	XM_078037734.1	12752802	12766199	127.333	104.0	127.333	0.817	102.333	102.333	90.333	1.133	1.3046850156215934	8.277264686497368e-05	0.00029465262878564	transcript2	transcript1	isoform_switched
2	LOC101976365	XM_013361836.4	XM_078037734.1	12752803	12766199	127.333	104.667	127.333	0.822	102.333	102.333	90.333	1.133	1.2999521336158069	0.00010378596146546941	0.0003568493688182806	transcript2	transcript1	isoform_switched
2	Yju2b	XM_078037122.1	XM_078037111.1;XM_005336233.5	10162937	10173970	32.0	27.333	32.0	0.854	27.667	27.667	17.667	1.566	1.63435538538035	0.0004049578142400854	0.0013034268713870071	transcript2	transcript1	isoform_switched
7	Pid1	XM_078018143.1	XM_078018144.1	189429427	189431305	31.667	31.667	23.667	1.338	30.333	22.667	30.333	0.747	0.6250124981673049	0.000613716941618293	0.001865357757586923	transcript1	transcript2	isoform_switched
3	Atp2c1	XM_005327001.5	XM_078043296.1	78451691	78472397	16.333	11.333	16.333	0.694	23.333	23.333	18.667	1.25	1.7740495024695582	0.0009358107208812916	0.002682520884801952	transcript2	transcript1	isoform_switched
11	LOC101963192	XM_078025965.1	XM_078025967.1	27834441	27880787	32.667	32.667	27.333	1.195	34.667	26.667	34.667	0.769	0.6559042622570185	0.0010365408880085387	0.0029583193100025836	transcript1	transcript2	isoform_switched
11	Srsf11	XM_013361547.4	XM_040288851.2;XM_040288852.2;XM_013361549.4;XM_040288853.2	55252120	55261670	42.0	34.667	42.0	0.825	40.667	40.667	33.333	1.22	1.4262147401219203	0.0020492333182792603	0.00520251094369347	transcript2	transcript1	isoform_switched
13	Osbpl1a	XM_013360215.4	XM_005329045.4	45218287	45309433	28.667	28.333	28.667	0.988	32.667	32.667	17.667	1.849	1.5055922551473164	0.0028344416630011536	0.0070457658036651065	transcript2	transcript1	isoform_switched
13	Osbpl1a	XM_078030237.1;XM_040274275.2	XM_005329045.4	45218286	45309433	28.667	28.333	28.667	0.988	32.667	32.667	17.667	1.849	1.5002789257048048	0.003068905380364021	0.007599746783132075	transcript2	transcript1	isoform_switched
1	Papss2	XM_005339193.4	XM_078042100.1	69480431	69503789	40.333	40.333	36.0	1.12	20.0	17.0	20.0	0.85	0.6675261450211482	0.004142273068026682	0.009974959042490723	transcript1	transcript2	isoform_switched
9	Septin11	XM_040292266.2	XM_040292271.2	58334764	58379866	91.0	73.333	91.0	0.806	96.667	96.667	93.667	1.032	1.190716067830435	0.02056424719923093	0.038817238949556944	transcript2	transcript1	isoform_switched
5	Ttpal	XM_040275842.2	XM_005327109.5	186282736	186287393	99.667	99.667	34.0	2.931	111.667	16.667	111.333	0.15	0.051271388726937116	1.0921163510546813e-190	7.153362099408163e-188	transcript1		
5	Ttpal	XM_078051847.1;XM_078051845.1;XM_078051846.1	XM_021727603.3;XM_021727604.3	186268600	186287392	99.667	31.0	34.0	0.912	111.667	8.0	111.667	0.072	0.08652660057204266	4.4760863120140674e-70	1.4659182671846072e-67		transcript2	
5	Ttpal	XM_078051847.1;XM_078051845.1;XM_078051846.1	XM_005327109.5	186268600	186287393	99.667	31.0	34.0	0.912	111.667	8.0	111.333	0.072	0.08686798191945441	7.540122375037789e-70	1.8991102677023172e-67			
5	Ttpal	XM_078051847.1;XM_078051845.1;XM_078051846.1	XM_078051849.1;XM_078051848.1	186268600	186287391	99.667	31.0	34.333	0.903	111.667	8.0	111.667	0.072	0.08736608526159717	1.0762149260002875e-69	2.014059361514824e-67		transcript2	
6	Atp7b	XM_040281563.2	XM_005330217.5	165122724	165140858	109.667	36.667	109.667	0.334	126.333	125.0	84.0	1.488	4.104805322313542	1.0065443256797863e-68	1.4650811851561336e-66	transcript2		
6	Atp7b	XR_013423412.1	XM_005330217.5	165122729	165140858	109.667	36.667	109.667	0.334	126.333	125.0	84.0	1.488	4.104805322313542	1.0065443256797863e-68	1.4650811851561336e-66	transcript2		
1	Matr3	XM_078046036.1	XM_013359558.4	119672846	119685187	135.333	135.333	54.333	2.491	77.333	51.0	76.667	0.665	0.27326458212231064	3.643331603243717e-55	4.338876727499335e-53	transcript1		
1	Matr3	XM_078046036.1	XM_078046020.1;XM_078046031.1	119672846	119685139	135.333	135.333	54.0	2.506	77.333	51.0	76.333	0.668	0.2736527478701257	7.048196579437975e-55	7.102413476202882e-53	transcript1		
1	Matr3	XM_078046036.1	XM_013359557.4;XM_078046017.1	119672846	119685439	135.333	135.333	54.0	2.506	77.333	51.0	76.333	0.668	0.2736527478701257	7.048196579437975e-55	7.102413476202882e-53	transcript1		
3	Acbd4	XM_021728346.3;XM_021728345.3	XM_078041961.1	17837930	17839856	152.667	152.667	24.333	6.274	151.667	151.667	3.667	41.36	6.012934202703436	2.7038017369540723e-24	2.2137376721311467e-22	transcript1	transcript1	
3	Acbd4	XM_021728346.3;XM_021728345.3	XM_078041959.1	17837930	17839857	152.667	152.667	24.333	6.274	151.667	151.667	3.667	41.36	6.012934202703436	2.7038017369540723e-24	2.2137376721311467e-22	transcript1	transcript1	
1	Mast4	XM_013356109.4	XM_078015707.1;XM_078015703.1;XM_040273127.2	211357761	211751005	152.333	85.667	152.333	0.562	130.667	129.667	130.333	0.995	1.9059056959322596	6.890515450428534e-24	5.309750141212577e-22	transcript2		
5	Sgk2	XM_078051826.1	XM_078051825.1	185636835	185642382	73.0	72.333	44.333	1.632	65.333	65.333	8.667	7.538	3.9897528891420126	1.0309488652264941e-23	7.503016741370596e-22		transcript1	
1	Mast4	XM_013356108.4	XM_078015707.1;XM_078015703.1;XM_040273127.2	211357762	211751005	152.333	86.0	152.333	0.565	130.667	129.667	130.333	0.995	1.8990305177899667	1.1489356316705227e-23	7.921608828886235e-22	transcript2		
15	Gse1	XM_005335449.5	XM_013362929.4;XM_021733374.3	58079142	58120523	99.333	6.333	99.333	0.064	104.667	30.667	104.667	0.293	4.44043229822679	3.761644216244292e-23	2.269027929693412e-21	transcript2	transcript2	
5	Sgk2	XM_078051828.1	XM_078051825.1	185636834	185642382	73.0	73.0	44.333	1.647	65.333	64.667	8.667	7.461	3.926296278510224	3.904658900173528e-23	2.269027929693412e-21	transcript1		
7	Enpp2	XM_013356833.4	XM_013356829.4	19590409	19620024	33.667	14.333	32.0	0.448	30.667	30.667	8.333	3.68	5.266774256034007	3.983789494881563e-23	2.269027929693412e-21		transcript1	
7	Enpp2	XM_013356833.4	XM_005316205.5;XM_005316207.5;XM_013356853.4;XM_013356865.4	19590409	19620025	33.667	14.333	32.0	0.448	30.667	30.667	8.333	3.68	5.266774256034007	3.983789494881563e-23	2.269027929693412e-21		transcript1	
1	Mast4	XM_013356109.4	XM_078015722.1;XM_078015713.1;XM_040273130.2	211357761	211751004	152.333	85.667	151.0	0.567	130.667	129.667	130.667	0.992	1.8807479313606397	6.321405568371296e-23	3.450433872735999e-21		transcript2	
1	Mast4	XM_013356108.4	XM_078015722.1;XM_078015713.1;XM_040273130.2	211357762	211751004	152.333	86.0	151.0	0.57	130.667	129.667	130.667	0.992	1.873962825901737	1.0436671179948261e-22	5.468815698292889e-21		transcript2	
4	Rgs3	XM_078047998.1	XM_013366485.4	190506089	190533252	42.667	28.0	42.667	0.656	111.333	16.0	111.333	0.144	0.29713950559042224	1.3600145317822888e-22	6.85238091013384e-21	transcript2	transcript2	
5	Sgk2	XM_078051824.1;XM_078051827.1	XM_078051825.1	185636836	185642382	73.0	72.667	44.333	1.639	65.333	63.333	8.667	7.307	3.849891688504278	1.936966357240563e-22	9.39787380735236e-21			
15	Gse1	XM_040279237.2	XM_013362929.4;XM_021733374.3	58079143	58120523	99.333	6.667	99.333	0.067	104.667	30.333	104.667	0.29	4.227198031567262	4.985661854190399e-22	2.332577510353365e-20	transcript2	transcript2	
2	Atxn7l1	XR_013435223.1	XR_013435220.1	176130306	176290566	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435223.1	XR_013435218.1;XR_013435217.1;XM_040291664.2;XM_021722434.3;XM_040291662.2;XM_040291660.2;XM_021722431.3	176130306	176290745	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435223.1	XR_013435219.1	176130306	176290746	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435226.1	XR_013435220.1	176130592	176290566	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435226.1	XR_013435218.1;XR_013435217.1;XM_040291664.2;XM_021722434.3;XM_040291662.2;XM_040291660.2;XM_021722431.3	176130592	176290745	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435226.1	XR_013435219.1	176130592	176290746	88.333	23.0	88.333	0.26	42.667	33.333	42.333	0.787	2.8483306005207996	9.022457660049678e-22	3.4762998631367876e-20	transcript2		
2	Atxn7l1	XR_013435223.1	XR_013435221.1;XM_078040232.1;XM_040291666.2;XM_005319459.5	176130306	176290744	88.333	23.0	87.667	0.262	42.667	33.333	42.667	0.781	2.8030655078772453	3.652320621744364e-21	1.3290388929125325e-19		transcript2	
2	Atxn7l1	XR_013435226.1	XR_013435221.1;XM_078040232.1;XM_040291666.2;XM_005319459.5	176130592	176290744	88.333	23.0	87.667	0.262	42.667	33.333	42.667	0.781	2.8030655078772453	3.652320621744364e-21	1.3290388929125325e-19		transcript2	
1	Acsl5	XM_013356585.4;XM_013356583.4	XM_040272551.2	16591875	16593476	134.0	24.667	134.0	0.184	173.0	9.333	173.0	0.054	0.29285900404473075	7.410824186554974e-21	2.34930806132401e-19	transcript2	transcript2	
1	Acsl5	XM_013356585.4;XM_013356583.4	XM_040272553.2	16591875	16593463	134.0	24.667	133.0	0.185	173.0	9.333	172.333	0.054	0.2928937035404752	7.532132715695299e-21	2.34930806132401e-19			
1	Pttg1	XM_078051986.1	XM_078051974.1;XM_078051980.1	171407381	171408699	54.667	54.667	49.0	1.116	54.333	54.333	14.0	3.881	3.0301108691166996	1.042486062537891e-19	3.0347927598325267e-18	transcript1	transcript1	
1	Pttg1	XM_078051970.1	XM_078051974.1;XM_078051980.1	171407382	171408699	54.667	54.667	49.0	1.116	54.333	54.333	14.0	3.881	3.0301108691166996	1.042486062537891e-19	3.0347927598325267e-18	transcript1	transcript1	
12	Lpin1	XM_040271296.2;XM_021727784.3;XM_040271295.2	XM_078029648.1	112976526	112987555	143.333	31.667	143.0	0.221	126.0	10.0	126.0	0.079	0.33729570271688775	4.72008639383827e-19	1.2881902449850276e-17		transcript2	
11	Pafah2	XM_021734439.3	XM_078025639.1	17488259	17501907	71.667	33.667	71.667	0.47	49.667	49.0	47.0	1.043	2.4513953212002093	5.788899843524879e-19	1.5476446520444065e-17	transcript2		
12	Lpin1	XM_040271296.2;XM_021727784.3;XM_040271295.2	XM_078029649.1	112976526	112987189	143.333	31.667	143.333	0.221	126.0	10.0	126.0	0.079	0.3386003194379929	6.576265396463647e-19	1.7229815338734754e-17	transcript2	transcript2	
11	Adgrl2	XM_078026553.1	XM_078026552.1	65270370	65271591	91.667	39.333	91.667	0.429	140.667	27.0	140.667	0.192	0.432529273277116	1.9348157446841444e-18	4.6937196769189425e-17	transcript2	transcript2	
9	Slc26a1	XM_005319051.5	XM_078020798.1	519739	520742	37.333	31.333	37.333	0.839	63.667	14.333	63.667	0.225	0.31703476596583	2.2348215850098623e-18	5.3229386842962174e-17	transcript2	transcript2	
11	Kazn	XM_078025326.1	XM_078025323.1	9737917	9747530	29.0	29.0	4.667	6.214	28.333	28.333	23.0	1.232	0.18900564730666722	3.4959729114756145e-18	8.178079489344741e-17	transcript1	transcript1	
15	Kifc3	XM_040279724.2;XM_021721502.3;XM_040279723.2	XM_078032397.1	36058896	36102917	44.333	31.333	21.667	1.446	48.333	48.333	6.667	7.25	4.481274960688101	3.928759352622774e-18	9.02925395076462e-17		transcript1	
11	Kazn	XM_078025327.1	XM_078025323.1	9737931	9747530	29.0	28.667	4.667	6.142	28.333	28.0	23.0	1.217	0.1898125269997249	4.7612478931925015e-18	1.0753853000141684e-16			
7	Gpt	XM_040293465.2	XM_013357417.4	447227	448329	41.0	32.0	40.0	0.8	38.333	8.0	38.333	0.209	0.2798679205091647	4.515067390569763e-16	9.857897136077315e-15		transcript2	
14	Fdft1	XM_078030771.1	XM_078030772.1	5775014	5784793	241.667	12.667	241.667	0.052	132.0	18.667	132.0	0.141	2.6781706913597407	5.348523213218352e-15	1.1486172802157444e-13	transcript2	transcript2	
7	Hdlbp	XM_078018434.1	XM_021719661.3	198162754	198182954	90.333	57.0	89.667	0.636	123.667	38.333	123.0	0.312	0.511934047187267	6.729914275251592e-15	1.4219657581579977e-13			
7	Hdlbp	XM_078018434.1	XM_013364886.4	198162754	198182792	90.333	57.0	90.333	0.631	123.667	38.333	123.667	0.31	0.5147415308048773	1.0034397089920557e-14	2.086517490126338e-13	transcript2	transcript2	
