chr	Gene	Transcript1	Transcript2	TTS_transcript1	TTS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
6	Plekha5	XR_013423044.1	XM_078015176.1;XM_078015174.1	88763001	88779703	41.667	27.0	41.667	0.648	33.0	33.0	29.667	1.112	1.7531745902730471	3.561253374900065e-06	0.0002130766725150291	transcript2	transcript1	isoform_switched
2	Znrf2	XM_013355991.3	XM_078039905.1	145124612	145142318	40.667	40.667	25.333	1.605	31.0	27.333	31.0	0.882	0.5594658105998674	4.905267388217002e-06	0.0002686577215700389	transcript1	transcript2	isoform_switched
11	Clcn6	XM_040287927.2	XM_005317463.5	7627455	7633590	22.0	12.333	22.0	0.561	16.333	16.333	13.667	1.195	2.1964411114099702	7.131204002868048e-06	0.00036267266071728934	transcript2	transcript1	isoform_switched
4	Tut7	XM_021734645.3;XM_078047383.1;XM_021734646.3	XM_013363833.4;XM_040285593.2;XM_040285592.2	126658085	126665852	126.667	126.667	125.0	1.013	108.667	82.0	108.667	0.755	0.7414836899715382	8.053428769845249e-06	0.00040098190798110606	transcript1	transcript2	isoform_switched
1	Dpcd	XM_005333657.4	XM_040272282.2	25542270	25544292	11.333	11.333	6.667	1.7	9.333	5.333	9.333	0.571	0.3308622203163886	9.17794308320956e-06	0.0004537982968920283	transcript1	transcript2	isoform_switched
7	Nhej1	XR_013424319.1	XM_040267860.2;XM_040267859.2	181024476	181050092	24.333	14.333	24.333	0.589	16.667	16.667	13.0	1.282	2.107114320583861	1.5980479824854806e-05	0.0007156038764337498	transcript2	transcript1	isoform_switched
3	Dhx40	XM_078042345.1	XM_078042344.1	33367561	33371827	20.0	20.0	16.667	1.2	15.0	6.667	15.0	0.444	0.43558742755239727	2.091372814727037e-05	0.0008970225566781025	transcript1	transcript2	isoform_switched
4	Mapkap1	XM_021723550.3;XM_005320966.3	XM_005320970.4	200989554	201060896	32.0	29.333	32.0	0.917	34.0	34.0	22.333	1.522	1.7200471607900298	2.1078676088657915e-05	0.0008986836751571518	transcript2	transcript1	isoform_switched
8	Usp45	XM_040283139.2	XM_040283137.2	62637996	62658203	18.333	18.333	17.333	1.058	17.667	8.333	17.667	0.472	0.45147183285973636	2.2367513753809898e-05	0.0009368041054536851	transcript1	transcript2	isoform_switched
10	Bend7	XM_078023513.1	XM_078023504.1;XM_078023502.1;XM_078023505.1;XM_078023503.1	97808338	97844516	16.0	16.0	10.333	1.548	14.667	10.0	14.667	0.682	0.4281232316798013	2.7529431593471845e-05	0.0011011772637388737	transcript1	transcript2	isoform_switched
7	Zeb2	XM_005315824.5	XM_040294276.2	116278929	116284477	23.0	22.0	23.0	0.957	28.333	28.333	16.333	1.735	1.8347673510331444	3.590476960523908e-05	0.0013600802022291588	transcript2	transcript1	isoform_switched
15	LOC101958629	XM_005318410.5	XM_078032655.1	49484020	49490037	31.0	31.0	25.0	1.24	29.667	21.667	29.667	0.73	0.5748390410883983	3.6991416981108115e-05	0.0013789470623324072	transcript1	transcript2	isoform_switched
x	Mcf2	XM_005325157.4;XM_005325158.5	XM_078034193.1	13251433	13254930	7.333	1.667	7.333	0.227	3.0	3.0	2.0	1.5	5.913461538461539	4.306420626745541e-05	0.0015723956339706796	transcript2	transcript1	isoform_switched
1	Zfyve27	XM_013362856.4	XM_078030683.1	28936223	28940604	17.667	16.0	17.667	0.906	17.0	17.0	9.333	1.821	2.115017135144144	4.7266083876643774e-05	0.001717012842865835	transcript2	transcript1	isoform_switched
4	Ralgps1	XM_078048267.1	XM_078048256.1	202431568	202440084	10.0	5.333	10.0	0.533	11.667	11.667	8.0	1.458	2.6899197816222826	4.9917013990351056e-05	0.0017949956546025228	transcript2	transcript1	isoform_switched
9	Helq	XM_078021520.1	XM_078021521.1	63989187	63999686	24.0	14.0	24.0	0.583	14.0	14.0	11.0	1.273	2.0841230635903276	5.963022129182038e-05	0.002031421892812254	transcript2	transcript1	isoform_switched
5	Herc1	XM_078049498.1	XM_021727300.3;XM_078049495.1;XM_078049496.1;XM_078049497.1;XM_078049494.1	19286542	19301770	16.667	10.333	16.667	0.62	15.667	15.667	11.667	1.343	2.169155930184612	6.17622252698628e-05	0.0020914291765156984	transcript2	transcript1	isoform_switched
6	Bicd1	XM_021732232.3;XM_005334046.4;XM_021732228.3;XM_078014919.1	XM_078014920.1	76390747	76416735	9.667	9.667	1.667	5.799	4.0	3.333	4.0	0.833	0.22857643758765775	7.76299864363109e-05	0.002478589701464276	transcript1	transcript2	isoform_switched
10	Nek7	XM_078022537.1	XM_040276817.2	27274144	27290773	25.667	25.667	17.667	1.453	20.333	14.333	20.333	0.705	0.5328855775700974	8.791673574535494e-05	0.002686554328355911	transcript1	transcript2	isoform_switched
x	Rragb	XM_005340803.5;XM_005340804.5	XR_013431832.1;XR_013431834.1;XR_013431831.1;XR_013431833.1	82058656	82067494	19.0	19.0	11.333	1.677	17.0	14.0	17.0	0.824	0.49437229069406274	9.57186635863055e-05	0.002863516322413845	transcript1	transcript2	isoform_switched
6	Tmpo	XM_005322405.5;XM_021724517.3;XM_005322403.5	XM_005322402.5	20818902	20833074	23.0	17.333	23.0	0.754	24.0	24.0	17.667	1.358	1.8258119827763089	9.729587820558549e-05	0.0028985215599320866	transcript2	transcript1	isoform_switched
11	Kif1b	XM_078025266.1	XM_078025261.1;XM_078025260.1	6477287	6534074	43.0	43.0	33.333	1.29	27.333	21.0	27.333	0.768	0.6068652143822879	0.00010014930538835319	0.002946541546963119	transcript1	transcript2	isoform_switched
10	Cep20	XM_078024309.1	XR_001229712.4;XM_005323700.5	133094473	133105097	17.0	17.0	9.667	1.759	11.0	8.667	11.0	0.788	0.42207680962102534	0.00011241531041594219	0.0031636245460929186	transcript1	transcript2	isoform_switched
2	Git2	XM_078038927.1	XM_078038914.1;XM_078038918.1;XM_078038916.1;XM_078038920.1;XM_078038922.1;XM_078038925.1;XM_078038915.1;XM_078038919.1;XM_078038917.1;XM_078038921.1;XM_078038923.1;XM_078038926.1	75606732	75622230	24.667	24.667	23.0	1.072	23.667	13.667	23.667	0.577	0.5562509693310267	0.00012669318266782126	0.003501747101733878	transcript1	transcript2	isoform_switched
1	Mtx3	XM_078044285.1;XM_013360203.3;XM_013360204.4	XR_002484362.3	90084579	90091033	12.333	8.333	12.333	0.676	12.333	12.333	7.667	1.609	2.3114251488918187	0.00015808974122458365	0.004130287313414353	transcript2	transcript1	isoform_switched
12	Ncoa1	XM_021724640.3;XM_021724641.3;XM_021724643.3	XM_078029576.1	102497826	102499893	39.333	37.0	39.333	0.941	40.667	40.667	26.667	1.525	1.562902937705069	0.00016098245733113463	0.004183193781743352	transcript2	transcript1	isoform_switched
8	Cdkal1	XR_013425476.1	XM_078020592.1	151672435	151715284	9.667	7.667	9.667	0.793	14.0	14.0	8.333	1.68	2.3606628395827154	0.00018182754717527218	0.004640186866981856	transcript2	transcript1	isoform_switched
7	Mettl8	XM_021725916.3	XR_013424143.1	140023162	140026076	6.333	3.667	6.333	0.579	6.667	6.667	3.667	1.818	3.638726503516327	0.00021129099088380073	0.005278567912605829	transcript2	transcript1	isoform_switched
4	Rc3h2	XM_021723508.3;XM_040286261.2	XM_021723509.3	198821352	198826564	25.333	25.333	20.667	1.226	30.0	22.333	30.0	0.744	0.5990466492057092	0.00029819938345278127	0.0068922017025237784	transcript1	transcript2	isoform_switched
16	Atg7	XM_005333795.5	XM_021731992.2	39805344	39967007	10.0	9.333	10.0	0.933	14.0	14.0	6.667	2.1	2.2367990577506047	0.0003353618975358523	0.0075324186449693	transcript2	transcript1	isoform_switched
8	Qki	XR_013424694.1;XM_078018769.1;XM_078018768.1;XM_078018766.1	XM_078018771.1	4926329	4929939	63.333	63.333	59.333	1.067	85.667	66.333	85.667	0.774	0.7407232225453139	0.0003754845489899554	0.008290413987353262	transcript1	transcript2	isoform_switched
5	Znf609	XM_078048888.1;XM_078048885.1	XM_078048889.1	18377293	18382577	29.333	29.333	29.0	1.011	23.333	15.667	23.333	0.671	0.5933215661480182	0.00037609602779706513	0.008290413987353262	transcript1	transcript2	isoform_switched
10	Cd55	XM_040277189.2;XM_013360402.4;XM_013360403.4	XM_021729223.3	35474474	35477591	23.333	23.333	14.333	1.628	14.333	11.667	14.333	0.814	0.5259972155676791	0.000406978939323693	0.008699915515065371	transcript1	transcript2	isoform_switched
10	Pms2	XM_078023693.1	XR_013426826.1	109270905	109272948	36.333	36.333	27.333	1.329	21.667	19.0	21.667	0.877	0.6056455235688352	0.00041838899999930315	0.008839553946572813	transcript1	transcript2	isoform_switched
3	Vps53	XM_021728148.3	XM_005327885.4	44497670	44515871	13.0	9.0	13.0	0.692	17.333	17.333	14.0	1.238	2.0000071991954647	0.00043429245021099324	0.009108487487876401	transcript2	transcript1	isoform_switched
5	Dmac2l	XM_078050159.1	XM_078050160.1	66554969	66557398	7.667	4.0	7.667	0.522	8.333	8.333	5.667	1.47	2.8252091213539097	0.0004408850189216589	0.009205575761648715	transcript2	transcript1	isoform_switched
13	LOC144369840	XR_013429638.1;XR_013429639.1;XR_013429641.1;XR_013429642.1	XR_013429640.1;XM_078030278.1	46756175	46817803	5.333	5.333	1.333	4.001	3.0	2.0	3.0	0.667	0.20564216778025243	0.0004576659574958803	0.009352125088151407	transcript1	transcript2	isoform_switched
4	Stx3	XM_021730617.2	XM_078045956.1;XM_078045955.1;XM_021730614.3	12665678	12668320	26.333	18.0	26.333	0.684	16.667	16.667	13.333	1.25	1.795240333652307	0.0004822651857060725	0.009672473583738694	transcript2	transcript1	isoform_switched
5	Efcab11	XM_078050704.1	XM_078050703.1	110558433	110611863	14.0	10.0	14.0	0.714	15.0	15.0	10.0	1.5	2.0247430481103095	0.0004886153165886619	0.009690643604766777	transcript2	transcript1	isoform_switched
4	Frrs1l	XM_005329727.4	XM_078047936.1	186834387	186842625	6.667	2.0	6.667	0.3	3.333	3.333	2.667	1.25	4.189274160380012	0.0006952231947593289	0.012757703986305212	transcript2	transcript1	isoform_switched
10	Sdccag8	XM_078022971.1	XM_040277164.2	56000697	56031130	22.667	15.667	22.667	0.691	15.333	15.333	12.333	1.243	1.8047034989695316	0.0008400836431748988	0.014842172554355531	transcript2	transcript1	isoform_switched
12	Inpp4a	XM_021719593.3	XM_078028508.1;XM_078028513.1;XM_078028509.1;XM_078028514.1;XM_078028515.1	37760170	37764823	22.333	20.667	22.333	0.925	21.667	21.667	15.0	1.444	1.7176599427756387	0.0008467199463639151	0.01488554572373105	transcript2	transcript1	isoform_switched
2	Gatad1	XM_078040427.1	XM_078040425.1	201753517	201757308	37.333	37.333	33.0	1.131	37.333	28.0	37.333	0.75	0.6730631167513187	0.0009163933713141421	0.015913953179894372	transcript1	transcript2	isoform_switched
7	Stk3	XM_078016884.1	XM_005316308.5	36967165	37006114	12.667	12.667	9.0	1.407	13.0	9.0	13.0	0.692	0.48977114030328356	0.0009359359411338809	0.01621378078071346	transcript1	transcript2	isoform_switched
3	Phc3	XR_013436633.1;XM_078043623.1;XM_078043622.1;XM_078043626.1;XM_078043625.1;XM_040270078.2;XM_040270076.2;XM_005332487.5;XM_078043624.1;XM_021731158.3	XR_002484746.3	115061456	115070429	42.667	42.667	31.667	1.347	43.667	41.333	43.667	0.947	0.6931937257308783	0.0009752114046388932	0.016691118271704133	transcript1	transcript2	isoform_switched
5	Dmxl2	XM_078049610.1	XM_005316570.4;XM_005316568.5;XM_021726705.3;XM_005316569.5;XM_078049608.1	30093149	30097989	12.333	12.333	10.0	1.233	12.333	7.333	12.333	0.595	0.4834735651027052	0.0009922757137057355	0.016901921247810613	transcript1	transcript2	isoform_switched
11	Eri3	XM_013364465.4	XM_078026128.1	32252131	32316908	20.333	18.0	20.333	0.885	21.667	21.667	11.0	1.97	1.7753165509446933	0.001005633269595016	0.016967082652882732	transcript2	transcript1	isoform_switched
7	Itga6	XM_005324599.4	XM_005324598.5	141015847	141018224	5.0	5.0	2.0	2.5	4.333	3.333	4.333	0.769	0.2568466108261688	0.0010253865686312444	0.017259461864431346	transcript1	transcript2	isoform_switched
3	Cdk12	XM_005321775.5;XM_005321776.4;XM_005321774.5	XM_078042078.1	22449306	22455741	59.667	49.333	59.667	0.827	45.0	45.0	38.0	1.184	1.403020631294354	0.0010418301797572404	0.01745371971734483	transcript2	transcript1	isoform_switched
2	Nrf1	XM_078040515.1	XM_078040505.1	207331083	207345845	14.667	11.667	14.667	0.795	14.667	14.667	10.333	1.419	1.8962547326388444	0.0011733580410937493	0.019249560489832937	transcript2	transcript1	isoform_switched
15	LOC101968370	XM_078031740.1	XR_013430657.1	7933515	7941678	237.333	186.0	237.333	0.784	144.0	144.0	140.667	1.024	1.2060855951991063	0.0011795961966840566	0.019307413610093065	transcript2	transcript1	isoform_switched
12	Alms1	XM_078029017.1;XM_078029015.1	XM_078029018.1	61301222	61359546	16.667	15.0	16.667	0.9	17.0	17.0	10.333	1.645	1.8074710137805048	0.0012247212341486167	0.01995426816278753	transcript2	transcript1	isoform_switched
8	Slc17a5	XM_078019719.1	XM_078019720.1	84412661	84421943	16.667	16.667	15.333	1.087	22.333	14.667	22.333	0.657	0.5852550131308136	0.0014573656036375108	0.02300763436341259	transcript1	transcript2	isoform_switched
13	Epg5	XM_078030092.1	XM_013358754.4	26974081	26983523	23.667	15.333	23.667	0.648	17.0	17.0	15.667	1.085	1.6920120865061454	0.0016806418341835379	0.025623490062926742	transcript2	transcript1	isoform_switched
3	Abcc5	XM_005331062.4	XM_013361057.4	129204704	129251417	11.0	8.0	11.0	0.727	10.667	10.667	7.333	1.455	2.1025147742598174	0.0017110185255134831	0.025975377189031982	transcript2	transcript1	isoform_switched
7	Zfat	XR_013423768.1	XM_040293615.2	7784087	7807866	8.667	8.667	6.0	1.444	9.0	5.333	9.0	0.593	0.4326604855525337	0.00173122456892501	0.02617052851538444	transcript1	transcript2	isoform_switched
8	LOC106145272	XR_013424939.1;XR_013424937.1;XR_013424938.1	XR_013424940.1	48498312	48513148	17.667	9.333	17.667	0.528	13.0	13.0	12.667	1.026	1.8607513416962376	0.0017569640327430394	0.02644732328357387	transcript2	transcript1	isoform_switched
5	Tasp1	XM_078051403.1;XM_078051405.1	XM_078051397.1	163276986	163406773	19.667	19.667	15.0	1.311	20.0	15.667	20.0	0.783	0.5880920847220665	0.0018128681133786197	0.02711685077154574	transcript1	transcript2	isoform_switched
12	LOC144369008	XM_078028048.1	XM_078028043.1	9882623	9891499	12.333	12.333	11.667	1.057	10.667	5.667	10.667	0.531	0.4810357810950825	0.0022040370252802755	0.03126044545815849	transcript1	transcript2	isoform_switched
8	LOC144366324	XR_013425340.1	XR_013425339.1	136056179	136078094	11.667	11.667	11.333	1.029	15.667	7.333	15.667	0.468	0.5163743589396184	0.0023662251129978012	0.03303435844028303	transcript1	transcript2	isoform_switched
16	Atp2b2	XM_078033488.1;XM_078033484.1;XM_078033483.1;XM_078033487.1;XM_078033489.1	XM_013362190.4	40870746	40873712	12.0	12.0	8.667	1.385	52.667	45.333	52.667	0.861	0.5899151843570933	0.002375709696986426	0.033037212973717485	transcript1	transcript2	isoform_switched
3	Med1	XM_078042085.1	XM_078042086.1	22556656	22561668	53.667	53.667	40.667	1.32	49.0	47.667	49.0	0.973	0.7386468253869986	0.0024079541062511857	0.03342033769299892	transcript1	transcript2	isoform_switched
2	Slc4a7	XM_078038258.1	XM_078038259.1	33144575	33148856	6.0	6.0	3.667	1.636	6.333	4.0	6.333	0.632	0.37138052215450107	0.002428765155124041	0.033643595144908896	transcript1	transcript2	isoform_switched
2	Abcb1	XR_013435321.1	XM_013365053.4	205907024	205933841	23.0	23.0	21.333	1.078	21.0	13.667	21.0	0.651	0.6121307914093076	0.0029060245959664686	0.0386745703238902	transcript1	transcript2	isoform_switched
1	Cwc27	XM_078015913.1	XM_040273836.2	213203413	213267816	12.0	6.0	12.0	0.5	9.0	9.0	7.667	1.174	2.134814630427581	0.002985908836298953	0.03944280318079508	transcript2	transcript1	isoform_switched
3	LOC144375956	XR_013435881.1	XR_013435879.1	4513268	4521393	37.667	37.333	37.667	0.991	48.667	48.667	36.0	1.352	1.3866774749933226	0.003089648592171149	0.040289923033440624	transcript2	transcript1	isoform_switched
5	C5H15orf61	XM_021727827.3	XM_005316726.5	16042862	16051180	10.333	10.333	9.0	1.148	18.333	12.0	18.333	0.655	0.5320335904892057	0.0031606286771100867	0.04078168064775294	transcript1	transcript2	isoform_switched
6	Naa16	XM_040281461.2	XR_002485267.3	155330579	155343215	25.667	21.0	25.667	0.818	23.333	23.333	17.667	1.321	1.5656152233705614	0.003164669425912577	0.04078168064775294	transcript2	transcript1	isoform_switched
4	LOC144377071	XM_078046327.1	XR_013437682.1;XM_078046328.1	38861771	38889421	3.667	1.0	3.667	0.273	2.667	2.667	2.0	1.334	5.073287466347592	0.0032053456925772135	0.041046872897751364	transcript2	transcript1	isoform_switched
10	Acbd6	XM_078022419.1	XR_013426414.1;XR_002483361.3	12826987	12831042	7.0	4.667	7.0	0.667	9.0	9.0	6.333	1.421	2.3196615708817214	0.003465660181474266	0.04347623383488846	transcript2	transcript1	isoform_switched
13	Nedd4l	XM_013357607.4;XM_040272621.2;XM_040272613.2;XM_040272608.2;XM_040272601.2;XM_021724971.3;XM_040272594.2	XR_013429542.1	16597806	16606673	37.667	33.333	37.667	0.885	14.333	14.333	10.333	1.387	1.728322401000422	0.0036117832821784125	0.04456827897592772	transcript2	transcript1	isoform_switched
x	Tmem164	XM_078034396.1	XM_078034397.1	38416132	38426000	12.0	10.333	12.0	0.861	13.0	13.0	7.333	1.773	1.8990948125985714	0.004036356213178902	0.048875605846656095	transcript2	transcript1	isoform_switched
6	Rbms2	XM_013363079.3	XM_013363077.4	56797414	56801946	25.0	21.333	25.0	0.853	18.333	18.333	14.0	1.31	1.6141065989920198	0.004102006821518533	0.04950218401561349	transcript2	transcript1	isoform_switched
3	Cep97	XM_078044312.1	XM_021733076.3	165004680	165027461	6.0	2.333	6.0	0.389	3.333	3.333	2.333	1.429	3.370513082226304	0.004157599489242876	0.049919238386862186	transcript2	transcript1	isoform_switched
10	Decr2	XM_078024817.1;XM_078024816.1;XM_078024822.1;XM_078024823.1;XM_078024821.1;XM_078024824.1;XM_040276910.2	XM_078024820.1;XM_078024818.1	135914646	135919032	488.333	201.667	365.667	0.552	550.0	152.333	470.667	0.324	0.5642300394465969	6.610325212534442e-38	4.706551551324523e-34			
6	Amdhd1	XM_078052972.1	XM_078052970.1	23039119	23043692	225.667	225.667	91.667	2.462	234.667	234.667	48.0	4.889	2.1246365944166077	2.0603501484827875e-28	7.334846528598723e-25	transcript1	transcript1	
10	Decr2	XR_013427196.1	XM_078024820.1;XM_078024818.1	135913951	135919032	488.333	161.667	365.667	0.442	550.0	140.333	470.667	0.298	0.6376784286102725	3.3590849769045027e-22	7.972228345186687e-19			
6	Amdhd1	XM_078052972.1	XM_078052973.1	23039119	23042488	225.667	225.667	112.333	2.009	234.667	234.667	70.667	3.321	1.7688178264165026	1.1024845368180144e-20	1.9624224755360656e-17	transcript1	transcript1	
10	Decr2	XM_078024817.1;XM_078024816.1;XM_078024822.1;XM_078024823.1;XM_078024821.1;XM_078024824.1;XM_040276910.2	XM_078024819.1	135914646	135917782	488.333	201.667	488.333	0.413	550.0	152.333	550.0	0.277	0.6710396122253431	1.5229701146273343e-20	2.1687094432293242e-17	transcript2	transcript2	
15	Slc38a7	XM_040279294.2	XM_078032424.1	36685805	36690709	111.667	44.667	82.667	0.54	115.333	92.0	79.0	1.165	2.146753544191459	6.682218605816914e-20	7.929566078902737e-17			
3	LOC144376351	XR_013436722.1	XR_013436714.1	132841626	132979042	42.333	28.667	14.667	1.955	18.667	2.667	18.667	0.143	0.12538080355056316	3.2890329138387116e-19	3.3454163352188037e-16		transcript2	
6	Slco1b3	XR_013423033.1	XM_078015130.1	87347791	87351590	500.0	257.667	500.0	0.515	271.667	204.333	271.667	0.752	1.419787945834607	1.5906647519587137e-18	1.415691629243255e-15	transcript2	transcript2	
15	Slc38a7	XM_040279294.2	XM_040279293.2;XM_005318255.5	36685805	36688638	111.667	44.667	111.667	0.4	115.333	92.0	115.333	0.798	1.9829803329165268	2.6636557096163995e-18	2.1072476280520852e-15	transcript2	transcript2	
3	LOC144376351	XM_078043834.1	XR_013436714.1	132856446	132979042	42.333	31.0	14.667	2.114	18.667	4.0	18.667	0.214	0.16999090403929765	7.484053448172876e-18	5.3286460550990875e-15		transcript2	
5	Srsf5	XM_078050126.1	XM_005322838.5	64294646	64296968	512.667	512.667	365.333	1.403	349.0	349.0	332.333	1.05	0.7385776408447301	1.1580249702632356e-17	7.495579807522035e-15	transcript1	transcript1	
3	LOC144376351	XR_013436710.1;XR_013436713.1;XR_013436719.1;XR_013436725.1	XR_013436714.1	132842385	132979042	42.333	27.667	14.667	1.886	18.667	2.667	18.667	0.143	0.13040325601296848	1.4363142320866034e-17	8.522131110380514e-15		transcript2	
10	Opn3	XM_040278717.2	XM_040278716.2	57609700	57646280	46.667	41.667	37.0	1.126	43.0	43.0	13.333	3.225	2.820455045284236	1.9214806009185655e-15	1.0523801445030913e-12		transcript1	
5	Sord	XM_021726509.3	XM_005316517.5	35631180	35641694	277.333	68.0	277.333	0.245	196.667	80.667	196.667	0.41	1.693646430564587	8.58213982694952e-15	4.36463111199147e-12	transcript2	transcript2	
8	Pnisr	XM_021733673.3	XM_040283132.2	62679426	62684329	70.667	69.0	39.667	1.739	53.333	35.333	43.333	0.815	0.4491910224113849	1.692935898184032e-14	8.03580239671354e-12			
3	LOC144376351	XR_013436716.1	XR_013436714.1	132886257	132979042	42.333	22.333	14.667	1.523	18.667	2.667	18.667	0.143	0.16358801705075451	7.0386752184503e-14	3.1322104722103835e-11		transcript2	
6	Plekha5	XR_013423045.1	XM_078015181.1	88763575	88947550	41.667	21.0	41.667	0.504	33.0	29.333	21.333	1.375	2.6885409794047144	1.487763535445116e-13	6.231103748452486e-11	transcript2		
3	LOC144376351	XR_013436718.1	XR_013436714.1	132849671	132979042	42.333	24.667	14.667	1.682	18.667	4.333	18.667	0.232	0.21100435669175222	4.125570893593652e-13	1.6318924867992668e-10		transcript2	
10	Opn3	XM_078022993.1	XM_040278716.2	57616036	57646280	46.667	46.667	37.0	1.261	43.0	41.333	13.333	3.1	2.5991519801535485	4.419685254244879e-13	1.656218895274923e-10	transcript1		
12	Rmdn2	XR_013429058.1;XR_013429052.1;XR_013429051.1;XM_078029359.1;XM_078029358.1	XR_013429059.1;XR_013429060.1;XM_078029349.1;XM_078029360.1	91583805	91736378	68.0	8.333	64.667	0.129	39.333	13.0	34.0	0.382	2.952764284810513	2.7308923084629035e-11	8.838160561934488e-09			
12	Rmdn2	XR_013429058.1;XR_013429052.1;XR_013429051.1;XM_078029359.1;XM_078029358.1	XM_078029346.1;XM_078029345.1	91583805	91732474	68.0	8.333	60.667	0.137	39.333	13.0	34.0	0.382	2.951580476303266	2.953372718339842e-11	9.142614675904206e-09			
4	Cdc26	XM_005329690.5	XR_013438236.1	190275539	190277693	55.667	55.667	45.333	1.228	59.0	59.0	23.0	2.565	2.0475237284463503	4.5010721648223607e-11	1.3353180755639669e-08	transcript1	transcript1	
1	Jakmip2	XM_078047382.1;XM_078047379.1;XM_078047376.1	XM_078047395.1;XM_078047387.1	127313127	127318814	3.333	1.667	3.333	0.5	34.667	1.333	34.667	0.038	0.0860875985605453	1.6358033091400866e-10	4.3136739115101544e-08	transcript2	transcript2	
5	Rin2	XM_021723128.3	XR_005729680.2	157375103	157380434	19.333	19.333	18.0	1.074	38.333	38.333	12.667	3.026	2.7076802168899854	1.887030257966816e-10	4.7984483702584746e-08	transcript1	transcript1	
1	Jakmip2	XM_078047382.1;XM_078047379.1;XM_078047376.1	XR_013438018.1	127313127	127318837	3.333	1.667	3.333	0.5	34.667	1.333	34.333	0.039	0.08793197855065626	2.486282556773483e-10	6.104252346285241e-08	transcript2		
