long-eRNA	log2fc	pvalue	FDR
nw_027521300.1:158532-185085:+	-0.7495806126825126	0.0015045043337016883	0.0027354624249121603
9:39192540-39210559:-	-0.6195446463999696	0.002036148674108056	0.0036468334461636823
6:131379221-131420566:-	0.8283733606199059	0.0022085107260364422	0.0038973718694760746
3:8921953-8936124:-	-0.9672975072908647	0.002321902347206455	0.004038091038619922
nw_027524451.1:37411-74394:-	-1.1388399442708068	0.0029611659222839285	0.00507628443820102
12:113015448-113031864:+	-0.5647627728167713	0.0033923915200473297	0.005733619470502529
9:103608834-103618998:-	-0.745490418384472	0.004568407063273144	0.007614011772121907
nw_027520961.1:56210-91616:+	-0.48978749853499287	0.004654592726507676	0.007651385303848235
nw_027523678.1:73209-86960:-	0.5199365395393646	0.00827061750192681	0.013232988003082896
10:81341462-81352066:-	0.7804864571135147	0.008230721756538608	0.013232988003082896
nw_027522592.1:99989-138190:-	-0.4459963958350673	0.013598008412097186	0.02147053959804819
7:192807330-192822598:+	0.5662243871528959	0.01914021363676338	0.02982890436898189
nw_027524440.1:581478-602450:+	-0.270407261386224	0.03311376410155631	0.0504854740107489
nw_027522568.1:23741-61661:+	-0.70087080463351	0.03323627039040969	0.0504854740107489
1:224151876-224187323:-	0.517614828067404	0.035569875826112665	0.053354813739169
2:84061698-84090919:+	-0.8857475846891983	0.04168087656849949	0.061749446768147385
13:23857812-23868653:+	-0.4663481302043372	0.04932044442623299	0.07217626013595071
nw_027520944.1:90897-133681:+	-0.3286170804392373	0.05481944202287827	0.07925702461139027
3:204686311-204696764:+	-0.16629337563841765	0.06455845201980698	0.09222636002829569
nw_027522565.1:157924-188176:+	-0.6016893113333118	0.07289842597455515	0.10291542490525432
nw_027522939.1:4726-16031:-	-0.4330816240316927	0.07554234680342957	0.10540792577222731
nw_027523079.1:145543-166827:-	-0.575328756999242	0.09160217231148145	0.12634782387790544
nw_027522888.1:230268-271653:-	-0.19844264782963217	0.11809658281623167	0.16104079474940683
nw_027520962.1:829076-892064:-	0.7034432065459197	0.12470915176170207	0.16814717091465448
11:4794739-4810331:+	-0.19857361254245237	0.15384691387840024	0.20512921850453367
4:207685703-207696391:+	-0.12002480481373665	0.16347621881132046	0.21557303579514786
nw_027520961.1:213113-253052:+	0.41612425237964157	0.1827590188146506	0.23838132888867467
10:109735239-109758835:+	-0.6447801869120257	0.18628732587434918	0.24037074306367637
3:214161600-214172576:+	0.37265897758709965	0.19005644321708723	0.24262524666011137
nw_027520962.1:288231-329574:-	0.1661647044755546	0.19470280129482753	0.24594038058294004
8:102753491-102768854:+	-0.2393696265031927	0.23377994043630718	0.29222492554538393
nw_027521991.1:211427-232231:+	0.15647567512137756	0.2736752340219513	0.3385672998209707
nw_027521325.1:299687-319017:+	-0.6194848338804948	0.31642940153651644	0.38746457331002016
nw_027521144.1:73082-89413:-	0.25813074432740585	0.35453894045977596	0.4297441702542739
8:147303729-147314699:-	-0.2387673911283949	0.36751696893248886	0.43934379897162834
nw_027523416.1:1375554-1397456:-	0.1260475596999647	0.3734422291258841	0.43934379897162834
nw_027526179.1:359719-420100:+	0.46960970067290997	0.37012356930449375	0.43934379897162834
nw_027522074.1:314076-334897:+	-0.12282748145554297	0.39522678909710696	0.46045839506459063
8:148287280-148297509:-	-0.2795575410991981	0.41208133815140124	0.47547846709777064
nw_027523678.1:112411-122973:-	-0.2519438154251116	0.42586181366223885	0.48669921561398727
3:48700628-48715916:-	0.24364176600723803	0.44551628612706196	0.5043580597664853
3:139696122-139765483:-	-0.13221167016383897	0.5531496158137774	0.6203547093238625
nw_027522423.1:265565-308518:+	0.09166920810318584	0.6048640707310816	0.6659053989699981
1:3522361-3545027:+	0.15481339741311043	0.5995201894874757	0.6659053989699981
12:117058947-117072107:+	-0.9240520371518365	0.6192997383723191	0.6755997145879845
nw_027522374.1:153262-175364:+	0.05235958656959811	0.7223763430951006	0.7809473979406493
nw_027523806.1:2722-40561:-	0.14574060298748834	0.7699066891605464	0.8249000241005854
nw_027522803.1:16604-65739:-	0.1195356749525194	0.7900871475278475	0.832583584485179
4:207668308-207688818:-	-0.06976733489115011	0.79095440526092	0.832583584485179
nw_027522627.1:10905-40739:-	-0.11448942238293384	0.803526061020333	0.8384619767168692
nw_027522939.1:24011-54205:-	0.06259081172677293	0.8577160931237258	0.8872925101279922
1:50829653-50840743:+	-0.008862733596226866	0.8966197915696473	0.9196100426355357
nw_027526147.1:601143-612348:-	-0.00736025263910037	0.9207363032547708	0.9363420033099366
7:12271580-12289093:-	0.0100814158329629	0.9465663781703761	0.9545207174827323
11:96007073-96082934:+	-0.013195283748442907	0.986293972474853	0.986293972474853
