Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652341	tts_down_50k_SRR13652341	ratio_SRR13652341	last_exon_SRR13652342	tts_down_50k_SRR13652342	ratio_SRR13652342	last_exon_SRR13652343	tts_down_50k_SRR13652343	ratio_SRR13652343
XM_005321083.3	Ass1	4	+	295	204934582	204934876	2.003866449228603	2.9845976037196358e-161	1.5133665496507801e-159	120	339	2.8403	85	307	3.6429	324	518	1.6006	268	2568	9.6142	34	305	9.2121	24	209	9.0435
XM_078021466.1	Rasgef1b	9	-	164	62296493	62296656	1.796002358239943	8.066658557625354e-150	3.863033153707253e-148	208	183	0.8792	161	131	0.8125	413	315	0.7621	210	330	1.5742	16	219	14.5333	156	452	2.9097
XM_005322350.5	Pah	6	+	621	17274553	17275173	1.400918397890432	4.094077899262123e-148	1.8574184995599738e-146	215	633	2.9533	151	583	3.88	615	1790	2.9137	183	1233	6.7692	137	1331	9.7794	100	896	9.0404
XM_005342494.5	Psmb1	8	-	170	347244	347413	3.3078203375926014	4.2103102741317324e-144	1.8146437281507766e-142	54	182	3.4151	48	197	4.1702	142	374	2.6454	24	535	23.2174	3	322	160.5	16	426	28.3333
XR_013424149.1	LOC120892777	7	-	4183	142169595	142173777	-3.689954681936437	1.20280659773893e-143	4.937234701195036e-142	72	40	0.5493	49	55	1.125	130	147	1.1318	130	10	0.0698	203	9	0.0396	174	17	0.0925
XM_005316175.5	Fam91a1	7	-	338	16281876	16282213	3.9690958898651827	4.201454689834674e-143	1.646206337562495e-141	41	69	1.7	34	58	1.7273	94	154	1.6452	13	268	22.25	3	201	100.0	12	241	21.8182
XM_005327563.5	Znf330	9	-	186	131964125	131964310	3.505893593460077	7.121860625985771e-142	2.6691495041737975e-140	35	69	2.0	52	44	0.8431	162	118	0.7267	19	220	12.1667	9	109	13.5	18	187	10.9412
XM_005325814.4	Otud1	10	-	3167	80332685	80335851	2.229133860887347	2.0304896847045144e-141	7.292842117563715e-140	139	54	0.3841	95	24	0.2447	241	102	0.4208	181	268	1.4833	70	232	3.3478	186	232	1.2486
XM_005335986.5;XM_005335987.5	Sox9	3	-	815	8476703	8477517	3.0471226931864837	6.313381653527555e-140	2.1768539941363013e-138	297	48	0.1588	252	14	0.0518	498	56	0.1107	93	80	0.8587	11	30	2.9	56	32	0.5636
XM_005315895.5	Bin1	7	-	368	104512688	104513055	3.863697862798356	2.1123606728670352e-139	7.003288076966863e-138	49	30	0.6042	60	26	0.4237	103	75	0.7255	21	116	5.75	1	100	NA	20	133	6.9474
XM_005318756.4	Srsf3	8	-	149	114262755	114262903	2.2257541441472277	4.889736099682298e-139	1.56109352515783e-137	51	229	4.56	36	186	5.2857	190	386	2.037	93	985	10.6957	13	630	52.4167	66	713	10.9538
XM_040270925.2;XM_013362638.4	Zfx	x	-	1451	108542033	108543483	2.6593219956310135	9.712011873626198e-138	2.9899122268092082e-136	54	64	1.1887	43	25	0.5714	155	113	0.7273	51	255	5.08	48	263	5.5745	55	269	4.963
XM_013365368.4	Cd36	2	-	136	170634366	170634501	2.782032764701507	2.4699427421305507e-133	7.341691874884603e-132	88	142	1.6207	67	73	1.0909	306	269	0.8787	27	190	7.2692	10	141	15.5556	36	217	6.1714
XM_005342396.5	Ufm1	6	-	156	167581192	167581347	3.751929506180012	4.39713848958971e-132	1.26344445934211e-130	37	75	2.0556	39	87	2.2632	88	150	1.7126	15	255	18.1429	2	265	264.0	11	215	21.4
XM_005315901.5	Nifk	7	-	152	99640697	99640848	3.9706738891036233	2.805441942554564e-126	7.800938562845272e-125	29	86	3.0357	8	48	6.7143	99	168	1.7041	15	363	25.8571	6	352	70.2	6	275	54.8
XM_078039041.1	Hspb8	2	-	883	81993784	81994666	2.4684901232689773	5.0915760938904885e-124	1.3715433102917503e-122	349	164	0.4684	274	153	0.5568	936	286	0.3048	54	111	2.0755	7	43	7.0	33	66	2.0312
XM_040273772.2	Csnk1a1	1	-	678	129106999	129107676	1.8408028960932963	7.091491600264049e-120	1.8523835634629122e-118	153	192	1.2566	110	165	1.5046	365	380	1.0412	89	332	3.7614	35	245	7.1765	82	304	3.7407
XM_078050577.1	Gpatch2l	5	+	9063	98624980	98634042	2.042052315888086	1.6436686817100827e-118	4.167183540100268e-117	173	40	0.2267	128	22	0.1654	320	79	0.2445	266	224	0.8415	214	269	1.2582	239	173	0.7227
XM_078021150.1	Sepsecs	9	-	137	18399547	18399683	3.082151439855455	1.0427445862953142e-116	2.568130952533031e-115	35	69	2.0	28	30	1.0741	71	135	1.9143	38	307	8.2703	4	241	80.0	21	316	15.75
XR_013426837.1	LOC101968211	10	+	576	111392112	111392687	2.2387807663980155	8.40051621187539e-116	2.0114569373990518e-114	68	191	2.8358	15	33	2.2857	89	177	2.0	84	926	11.1446	41	738	18.425	60	448	7.5763
XM_078030446.1	Vapa	13	-	326	89087010	89087335	2.965794704256978	2.8562504716896166e-115	6.654291639449863e-114	32	134	4.2903	36	91	2.5714	118	268	2.2821	33	404	12.5938	4	348	115.6667	16	341	22.6667
XM_078043605.1	Golim4	3	-	840	113157304	113158143	2.4651630833879126	3.3522794220665466e-115	7.604381215319377e-114	81	48	0.5875	89	21	0.2273	281	68	0.2393	110	122	1.1101	22	113	5.3333	74	113	1.5342
XR_013439434.1	LOC144378009	5	-	217	137039535	137039751	6.027570383939269	7.796126802612919e-110	1.7231439240647018e-108	6	2	0.2	6	13	2.4	51	17	0.32	2	151	150.0	1	116	NA	6	91	18.0
XM_013365124.4	Zkscan8	8	-	158	128875630	128875787	3.235023888691688	1.2777200066461297e-108	2.7534866143224095e-107	25	78	3.2083	15	59	4.1429	102	117	1.1485	17	272	16.9375	16	265	17.6	11	264	26.3
XM_005315970.5	Tmsb4x	x	-	158	118581340	118581497	3.1062375352963048	1.9779412445539227e-107	4.158500860501174e-106	73	29	0.3889	100	24	0.2323	159	29	0.1772	51	63	1.24	2	62	61.0	38	64	1.7027
XM_078017686.1	Cwc22	7	-	266	147389437	147389702	3.774544999002683	2.3882011852015893e-100	4.901498622961357e-99	17	34	2.0625	38	23	0.5946	79	73	0.9231	12	113	10.1818	1	126	NA	14	124	9.4615
XR_013423872.1	LOC144365441	7	-	597	33571642	33572238	4.941574380085185	2.6020569510302785e-96	5.216216492530465e-95	34	11	0.303	30	3	0.069	132	7	0.0458	7	27	4.3333	7	30	4.8333	7	31	5.0
XM_005318945.5	Qdpr	9	-	232	12064743	12064974	2.3218984649586867	1.688014887266293e-95	3.3069746200535106e-94	81	289	3.6	63	89	1.4194	146	632	4.3517	49	381	7.9167	3	359	179.0	17	302	18.8125
XM_005334960.5	Gpatch2	10	-	185	44365990	44366174	3.844756811802585	4.5856236752519265e-95	8.784016906815913e-94	31	32	1.0333	20	15	0.7368	104	68	0.6505	12	94	8.4545	3	86	42.5	11	103	10.2
XM_005338430.5	Thnsl2	12	-	169	1266323	1266491	3.1353519888374914	2.481822215277776e-92	4.650719020803137e-91	49	448	9.3125	58	486	8.5088	109	1598	14.787	23	1373	62.3636	1	485	NA	5	586	146.25
XM_005320075.4	Tm2d3	5	-	153	149576714	149576866	2.811793984440991	3.622179852851878e-92	6.643231985443232e-91	42	39	0.9268	36	21	0.5714	71	68	0.9571	33	177	5.5	2	145	144.0	44	129	2.9767
XM_005328227.5	Psmd12	3	-	218	13531929	13532146	2.2941773119825077	7.61326830827543e-91	1.3672161003611295e-89	23	113	5.0909	44	70	1.6047	110	220	2.0092	46	395	8.7556	10	386	42.7778	41	323	8.05
XM_005339807.5	Tet2	9	-	322	98283551	98283872	4.354335555499355	1.959755471295166e-88	3.4475698290947614e-87	16	27	1.7333	25	17	0.6667	63	31	0.4839	5	81	20.0	2	68	67.0	9	93	11.5
XM_021720859.3	LOC101959212	6	+	131	98434092	98434222	-2.8285194310068866	1.8212729557067696e-87	3.139874575638471e-86	7	199	33.0	16	331	22.0	16	190	12.6	35	39	1.1176	70	104	1.4928	22	221	10.4762
XM_078021052.1;XM_078021054.1;XM_078021056.1	Cpeb2	9	+	4006	10014762	10018767	1.5434520926652207	1.3892506835453244e-82	2.348106057286411e-81	87	60	0.686	127	47	0.3651	254	74	0.2885	428	439	1.0258	291	393	1.3517	266	300	1.1283
XM_005324504.5	Epas1	12	-	587	84590275	84590861	1.45780091697139	5.85637661385258e-82	9.708070463732546e-81	138	358	2.6058	77	160	2.0921	287	361	1.2587	118	449	3.8291	25	297	12.3333	107	443	4.1698
XM_040272113.2	Hsd17b4	1	-	197	141116320	141116516	1.7778169773636485	2.0757756795056419e-81	3.376072897611063e-80	73	184	2.5417	48	103	2.1702	190	572	3.0212	77	376	4.9342	6	502	100.2	55	407	7.5185
XM_078033581.1	Ppp4r2	16	-	270	51356351	51356620	2.4591349763682464	1.8864217233770552e-80	3.0112880102796696e-79	58	124	2.1579	58	77	1.3333	126	196	1.56	22	250	11.8571	5	115	28.5	31	154	5.1
XM_005326014.4	Jun	11	-	2693	44829043	44831735	1.733370621561376	5.72952190931303e-79	8.979723428777876e-78	184	45	0.2404	315	83	0.2611	629	258	0.4092	103	115	1.1176	55	57	1.037	86	82	0.9529
XM_078047651.1	Ttc39b	4	-	273	157366069	157366341	2.498921658387222	3.479423505041237e-77	5.3558268952599044e-76	36	119	3.3714	28	46	1.6667	109	255	2.3519	29	270	9.6071	13	237	19.6667	15	262	18.6429
XR_013425053.1;XR_013425052.1;XM_078019780.1;XM_078019779.1;XM_078019778.1	Ogfrl1	8	-	345	86435611	86435955	4.063306621344366	1.3850486853615996e-76	2.0945823978626295e-75	30	17	0.5517	18	14	0.7647	70	26	0.3623	11	61	6.0	2	51	50.0	7	55	9.0
XM_078021041.1;XM_078021040.1	Znf518b	9	-	116	6294244	6294359	4.25376117026854	6.429249897942055e-76	9.555195537975952e-75	24	60	2.5652	31	75	2.4667	42	89	2.1463	1	241	NA	2	95	94.0	5	97	24.0
XR_013428861.1	LOC144369336	12	+	20566	59994738	60015303	3.1934777397328555	3.704355403487011e-75	5.412126030179328e-74	356	9	0.0225	491	2	0.002	657	6	0.0076	866	99	0.1133	602	69	0.1131	656	62	0.0931
XM_021728423.3;XM_013359945.4	Axin2	3	-	175	12083634	12083808	4.05013845989049	1.3973180781300937e-74	2.0074803055802348e-73	22	14	0.619	47	5	0.087	97	28	0.2812	6	43	8.4	4	35	11.3333	11	26	2.5
XR_013426245.1	LOC144367039	10	-	98	88651381	88651478	4.190196841991439	3.970335478459149e-73	5.610539643330797e-72	30	36	1.2069	26	2	0.04	100	6	0.0505	6	39	7.6	6	49	9.6	4	8	2.3333
XM_013365129.4;XM_013365130.4;XM_013365128.4	Pja1	x	-	149	72575838	72575986	2.848998677873315	1.8376301918302412e-72	2.5143448021550284e-71	29	35	1.2143	41	19	0.45	49	43	0.875	38	133	3.5676	4	99	32.6667	19	98	5.3889
XM_013360765.4;XM_005330284.5	Zmat3	3	-	244	123121514	123121757	2.1479715369087433	1.8177571587614786e-72	2.5143448021550284e-71	40	49	1.2308	63	32	0.5	145	119	0.8194	59	130	2.2241	13	140	11.5833	43	130	3.0714
XM_005330966.5	Edem1	16	-	812	45251063	45251874	1.9686616794737997	5.359206159279173e-72	7.218180795779137e-71	76	65	0.8533	123	75	0.6066	297	146	0.4899	67	117	1.7576	5	77	19.0	54	92	1.717
XM_021731147.3	LOC101961272	2	-	301	213216773	213217073	3.302522292347125	6.752443540324014e-72	8.954778971937385e-71	84	48	0.5663	77	41	0.5263	256	132	0.5137	10	50	5.4444	2	28	27.0	11	42	4.1
XM_005327501.5	Pxdc1	8	-	962	136756475	136757436	1.7554765685060194	2.7109608545147367e-71	3.540679176654096e-70	100	90	0.899	76	98	1.2933	227	209	0.9204	83	256	3.1098	7	143	23.6667	65	112	1.7344
XM_005319654.5	Mrps30	1	-	632	226807123	226807754	2.7294907996327535	7.607355558924833e-71	9.787373868348068e-70	22	21	0.9524	29	41	1.4286	72	54	0.7465	29	128	4.5357	4	122	40.3333	30	138	4.7241
XM_005323094.4	Onecut2	13	-	1590	17380830	17382419	1.3237994560591155	1.5543953250809986e-70	1.970424662087972e-69	143	282	1.9789	168	329	1.9641	336	490	1.4597	100	370	3.7273	41	267	6.65	83	328	3.9878
XM_078022076.1;XM_005327561.5	Usp38	9	-	1231	130376141	130377371	2.3376581512830445	4.736309433469302e-70	5.916954683551504e-69	36	19	0.5143	41	18	0.425	71	54	0.7571	82	203	2.4938	16	140	9.2667	69	135	1.9706
XM_005331562.5	Cntf	4	-	1372	13434305	13435676	-2.768900929985461	2.0023941042546333e-69	2.465805311239277e-68	36	25	0.6857	14	13	0.9231	48	33	0.6809	211	32	0.1476	231	16	0.0652	213	22	0.0991
XM_005339190.4	Pten	1	+	6653	69740644	69747296	1.3775327614005006	2.8883994944625434e-69	3.506761076375651e-68	177	78	0.4375	155	74	0.474	386	113	0.2909	186	178	0.9568	182	202	1.1105	168	156	0.9281
XM_005325783.5	Arl5b	10	-	353	84485679	84486031	1.7118221363230075	3.0223251478616615e-68	3.618394829801045e-67	84	80	0.9518	66	79	1.2	184	154	0.8361	98	219	2.2474	17	156	9.6875	71	178	2.5286
XM_005330780.5	Ppp1r3b	14	-	905	70283917	70284821	1.7362930661711875	3.159932670146953e-68	3.731317755707772e-67	146	1310	9.0276	151	956	6.3667	270	3008	11.1784	47	926	20.1087	4	594	197.6667	27	666	25.5769
XM_013360736.4	Spryd7	6	-	208	163315380	163315587	2.5498073809995616	1.3430657498826391e-67	1.5644901032416688e-66	20	116	6.0526	22	72	3.381	70	222	3.2029	28	412	15.2222	3	343	171.0	17	276	17.1875
XM_005327222.5	Man2a1	1	+	2763	115831347	115834109	1.549378033600331	4.4135221526505636e-67	5.072608127446381e-66	69	92	1.3382	38	35	0.9189	193	105	0.5417	132	332	2.5267	152	372	2.457	111	236	2.1364
XM_021729706.3	Ugt8	9	-	619	89933480	89934098	2.169903918244062	6.541904304030765e-67	7.419896723782263e-66	109	187	1.7222	61	69	1.1333	123	263	2.1475	35	179	5.2353	3	117	58.0	25	159	6.5833
XM_005322926.5	Chchd7	7	-	159	72124464	72124622	2.5221821821354573	5.460679696436011e-66	6.1131245432829105e-65	47	36	0.7609	52	19	0.3529	14	60	4.5385	28	112	4.1111	8	138	19.5714	31	139	4.6
XM_013355829.4;XM_078020213.1	Zbtb9	8	-	207	116888237	116888443	2.257456022014981	7.435857854530037e-66	8.217576244365246e-65	61	73	1.2	64	39	0.6032	125	113	0.9032	44	107	2.4651	2	95	94.0	28	96	3.5185
XM_005335216.4	Amer1	x	-	194	68309014	68309207	3.23784783442058	1.8279752632579198e-64	1.9945755404156036e-63	22	27	1.2381	25	18	0.7083	74	46	0.6164	15	76	5.3571	4	64	21.0	11	77	7.6
XM_040270441.2	Bdh1	3	-	236	142431065	142431300	2.6012042527361094	6.865310240424455e-64	7.39737178405735e-63	44	64	1.4651	37	24	0.6389	136	153	1.1259	20	122	6.3684	9	102	12.625	14	61	4.6154
XM_005317656.5	Slc9a1	11	-	1122	18448065	18449186	2.095363868985194	2.839831045010066e-62	3.0221411861712058e-61	430	27	0.0606	343	27	0.076	773	44	0.0557	151	39	0.2533	36	20	0.5429	154	34	0.2157
XM_005327987.4;XM_005327986.5	Nfib	4	-	1132	156598328	156599459	1.5404316156209539	2.205548359998284e-61	2.3185154711201474e-60	108	70	0.6449	75	49	0.6486	239	88	0.3655	137	195	1.4265	51	123	2.44	143	161	1.1268
XM_078030181.1	Galnt1	13	-	132	35638851	35638982	3.4506589271804065	9.466994988456872e-61	9.831987566325088e-60	23	28	1.2273	32	24	0.7419	57	67	1.1786	11	74	7.3	2	66	65.0	6	71	14.0
XM_078053169.1;XM_078053168.1;XM_078053167.1;XM_078053165.1;XM_078053166.1	Cpsf6	6	-	160	45926764	45926923	2.304528928390046	1.713391496212961e-60	1.7582660353994908e-59	31	77	2.5333	28	87	3.1852	66	203	3.1077	23	246	11.1364	11	271	27.0	19	248	13.7222
XM_005330217.5	Atp7b	6	-	406	165140453	165140858	1.9285261501143063	2.680854870604875e-60	2.7187022334840026e-59	127	40	0.3095	74	33	0.4384	305	158	0.5164	61	112	1.85	15	50	3.5	58	55	0.9474
XM_005320095.5	Arrdc4	5	+	2688	146400804	146403491	1.5184109130688885	6.814141125838327e-60	6.829987965665858e-59	147	124	0.8425	93	50	0.5326	254	172	0.6759	63	120	1.9194	71	126	1.7857	73	166	2.2917
XM_040271017.2	Papolg	12	-	266	72310740	72311005	2.0627890934666606	1.7648257117613793e-59	1.748597429354378e-58	56	28	0.4909	53	17	0.3077	122	59	0.4793	79	118	1.5	34	101	3.0303	60	94	1.5763
XM_040288964.2	Selenof	11	-	347	70102114	70102460	1.5716815475973627	7.930033978119607e-58	7.76782873765807e-57	56	117	2.1091	52	84	1.6275	189	265	1.4043	81	235	2.925	38	336	9.0541	35	182	5.3235
XM_005319656.5	Nnt	1	-	140	227702192	227702331	3.292123425658289	1.552474389299765e-57	1.5036324984004465e-56	24	71	3.0435	27	39	1.4615	41	53	1.3	7	93	15.3333	1	109	NA	9	94	11.625
XM_078018143.1	Pid1	7	-	171	189429257	189429427	3.3527076484211724	1.706970897353238e-56	1.6348987927983236e-55	20	112	5.8421	6	50	9.8	68	123	1.8209	7	120	19.8333	1	312	NA	5	124	30.75
XM_005330784.5;XM_078031311.1	Prag1	14	-	233	69598521	69598753	3.303988950789234	3.6577624160731384e-56	3.464825497423126e-55	11	13	1.2	14	11	0.7692	35	16	0.4412	16	92	6.0667	3	110	54.5	15	53	3.7143
XM_005334280.5	Rab18	10	-	255	96197056	96197310	1.531257211446832	4.2959337102509145e-56	4.0251031067785745e-55	77	125	1.6316	82	100	1.2222	185	222	1.2011	87	182	2.1047	11	182	18.1	58	207	3.614
XM_078021044.1;XM_078021047.1;XM_078021045.1	Rab28	9	-	276	8679090	8679365	2.16107755499123	2.275136245878623e-55	2.1087821977928743e-54	44	50	1.1395	54	23	0.4151	143	76	0.5282	44	107	2.4651	7	62	10.1667	35	66	1.9118
XM_078015709.1;XM_078015708.1	Zmym2	6	-	156	123318271	123318426	3.419213993044931	4.1201437747155325e-55	3.7782595040476483e-54	18	81	4.7059	15	79	5.5714	28	156	5.7407	8	231	32.8571	1	268	NA	4	232	77.0
XM_005321775.5;XM_005321776.4;XM_005321774.5	Cdk12	3	-	1646	22511768	22513413	1.392606211113375	6.663952459825983e-55	6.046660021442103e-54	69	74	1.0735	105	50	0.4712	191	147	0.7684	126	241	1.92	93	186	2.0109	99	190	1.9286
XM_005337216.4	Elp3	14	-	154	8304513	8304666	3.2179361071157166	2.5271136605287054e-53	2.2691374743497336e-52	25	19	0.75	39	15	0.3684	117	39	0.3276	6	43	8.4	5	28	6.75	13	29	2.3333
XM_040291583.2;XM_013361522.4	Mdfic	2	-	496	190416888	190417383	2.653701633789934	2.6760829898806486e-53	2.3781273580176485e-52	22	60	2.8095	16	28	1.8	52	58	1.1176	21	131	6.5	9	132	16.375	8	129	18.2857
XM_078021369.1	LOC144366700	9	-	783	51829802	51830584	1.5568018679786102	4.893909902047432e-53	4.304643199556006e-52	174	56	0.3179	68	29	0.4179	256	167	0.651	116	71	0.6087	26	88	3.48	77	137	1.7895
XM_021729892.3	Znf281	10	-	145	29057362	29057506	1.423166783677152	2.088938228876096e-52	1.818853286152722e-51	97	118	1.2188	88	91	1.0345	184	273	1.4863	89	229	2.5909	26	178	7.08	61	174	2.8833
XM_078046241.1	Pdhx	4	-	231	29801705	29801935	1.6058785183294082	1.6877562143096433e-51	1.4548458567349126e-50	72	26	0.3521	85	37	0.4286	180	61	0.3352	234	140	0.5966	9	114	14.125	140	104	0.741
XM_005339124.5	Lmo4	11	+	4084	70516753	70520836	1.443555086543084	1.1893305727388017e-50	1.0150524294067792e-49	186	67	0.3568	70	37	0.5217	131	56	0.4231	122	125	1.0248	147	176	1.1986	137	166	1.2132
XM_078044306.1	Alcam	3	-	778	161938217	161938994	1.4493864869440154	1.3257829015894642e-50	1.1204165305589394e-49	77	99	1.2895	79	76	0.9615	161	109	0.675	108	209	1.9439	21	171	8.5	78	123	1.5844
XM_078044473.1;XM_078044469.1;XM_078044472.1;XM_078044471.1;XM_078044470.1	Nrip1	3	-	139	190623262	190623400	2.9331938240430433	8.648745143924322e-50	7.238076033070646e-49	12	111	10.0	17	118	7.3125	24	241	10.4348	14	442	33.9231	2	401	400.0	4	481	160.0
XM_005332799.5	Polr2a	3	+	1585	51825761	51827345	1.7950542357628727	2.969109558130002e-49	2.4609350376039055e-48	104	40	0.3786	79	19	0.2308	140	62	0.4388	46	95	2.0889	53	66	1.25	80	64	0.7975
XM_021730326.3;XM_005331011.5	Etv5	3	-	172	131321400	131321571	3.6216703260097134	2.4796105230032548e-48	2.0356421626941005e-47	48	2	0.0213	77	4	0.0395	113	2	0.0089	107	22	0.1981	3	28	13.5	94	17	0.172
XM_005334290.5	Mtpap	10	-	157	94236540	94236696	1.5678932986768734	5.74916155452794e-48	4.675261566040645e-47	90	73	0.809	56	46	0.8182	171	145	0.8471	69	134	1.9559	24	117	5.0435	62	121	1.9672
XM_021722297.3	C2H7orf25	2	+	1663	133707893	133709555	-1.8136765504557355	8.553801580400381e-48	6.891006506827223e-47	19	77	4.2222	16	74	4.8667	33	179	5.5625	122	162	1.3306	60	139	2.339	121	105	0.8667
XM_005318618.5	Cdc5l	8	-	286	107159130	107159415	2.2837326279913923	9.427064389939205e-48	7.524193985303328e-47	49	75	1.5417	31	56	1.8333	98	163	1.6701	23	120	5.4091	3	73	36.0	16	131	8.6667
XM_040281712.2;XM_005316995.5	Efnb2	6	-	833	194888133	194888965	3.0831474239318477	4.138790501163931e-47	3.2730618458745947e-46	26	13	0.48	23	7	0.2727	33	17	0.5	26	60	2.36	5	37	9.0	13	58	4.75
XR_013430887.1	LOC144370859	15	+	1742	32419913	32421654	2.243806162585207	4.98174775723927e-47	3.903878697036592e-46	40	24	0.5897	14	9	0.6154	67	44	0.6515	51	163	3.24	26	83	3.28	30	79	2.6897
XM_021728964.3;XM_005329091.4	Dcun1d5	4	-	414	87873627	87874040	2.295624275639826	1.1636538496370591e-46	9.036663228713018e-46	34	57	1.697	25	48	1.9583	100	104	1.0404	27	97	3.6923	3	112	55.5	12	78	7.0
XM_078039603.1	LOC110596937	2	-	2378	112961970	112964347	-1.5749560209456062	3.073563790436004e-46	2.365546417281996e-45	19	150	8.2778	30	126	4.3103	65	338	5.2656	101	145	1.44	56	140	2.5273	71	126	1.7857
XM_078049559.1	Polr2m	5	-	270	24453099	24453368	2.957514357296549	4.7880407219900066e-45	3.652470002084412e-44	10	62	6.7778	12	18	1.5455	27	53	2.0	14	134	10.2308	1	147	NA	6	155	30.8
XM_005322825.5	Actn1	5	-	404	63554032	63554435	1.8963119970561848	6.432333053480828e-44	4.863746572017959e-43	46	45	0.9778	64	35	0.5397	76	45	0.5867	58	119	2.0702	6	52	10.2	52	98	1.902
XM_078052143.1;XM_078052142.1	Ythdf1	5	-	265	199666506	199666770	2.1210783451213024	2.3112068809231544e-43	1.7324002881354428e-42	35	109	3.1765	34	113	3.3939	68	197	2.9254	22	320	15.1905	7	90	14.8333	13	162	13.4167
