Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652338	tts_down_50k_SRR13652338	ratio_SRR13652338	last_exon_SRR13652339	tts_down_50k_SRR13652339	ratio_SRR13652339	last_exon_SRR13652340	tts_down_50k_SRR13652340	ratio_SRR13652340
XM_078018143.1	Pid1	7	-	171	189429257	189429427	2.537574739336453	1.306272515018827e-62	3.0926001793070728e-61	20	112	5.8421	6	50	9.8	68	123	1.8209	29	291	10.3571	14	374	28.6923	8	294	41.8571
XM_040270925.2;XM_013362638.4	Zfx	x	-	1451	108542033	108543483	1.6653030864635334	6.74573589552607e-61	1.5581004617227288e-59	54	64	1.1887	43	25	0.5714	155	113	0.7273	85	205	2.4286	109	221	2.037	67	242	3.6515
XM_005323330.4;XM_021725189.3	Pls3	x	-	142	33619495	33619636	2.0779193729665995	3.415450576967155e-60	7.701027848542608e-59	82	29	0.3457	106	20	0.181	156	22	0.1355	68	64	0.9403	160	57	0.3522	26	81	3.2
XM_005319656.5	Nnt	1	-	140	227702192	227702331	2.385174341818929	7.186799991114131e-60	1.5827673468802516e-58	24	71	3.0435	27	39	1.4615	41	53	1.3	35	237	6.9412	26	154	6.12	4	197	65.3333
XM_005328777.4	Bzw2	2	-	153	157159760	157159912	2.2304771252870426	1.304500094365117e-59	2.8076399758267403e-58	137	14	0.0956	183	8	0.0385	314	31	0.0958	204	68	0.33	172	38	0.2164	53	48	0.9038
XM_078051566.1;XM_021726499.3	Timd4	1	-	110	168463594	168463703	3.9934290955574627	3.0929855686841018e-59	6.509016296764099e-58	6	50	9.8	15	50	3.5	15	43	3.0	5	283	70.5	3	142	70.5	2	222	221.0
XM_040272113.2	Hsd17b4	1	-	197	141116320	141116516	1.278740760503304	2.4015907427206192e-57	4.944144420340057e-56	73	184	2.5417	48	103	2.1702	190	572	3.0212	102	575	5.6832	123	491	4.0164	36	654	18.6571
XM_005325685.5	Mbnl1	3	-	387	100290630	100291016	1.515063144705213	6.060349196288261e-57	1.2210958912521241e-55	64	138	2.1746	23	92	4.1364	128	165	1.2913	58	304	5.3158	89	375	4.25	59	464	7.9828
XM_013360359.4	Eva1a	12	+	1307	58364847	58366153	1.518770484930769	7.635094473561952e-57	1.5063405138464934e-55	57	216	3.8393	47	94	2.0217	156	303	1.9484	46	287	6.3556	52	369	7.2157	55	401	7.4074
XM_040276316.2	Ddhd1	5	-	1033	49504496	49505528	2.0522743255081166	7.287595629879325e-56	1.4084394003052492e-54	73	26	0.3472	82	17	0.1975	273	86	0.3125	71	62	0.8714	54	47	0.8679	18	59	3.4118
XR_013428046.1	LOC110599414	11	-	296	104680404	104680699	2.2325115240849445	1.516001766640148e-55	2.87130734601644e-54	58	10	0.1579	130	16	0.1163	387	35	0.0881	90	40	0.4382	87	50	0.5698	63	42	0.6613
XM_021733547.3	Slc16a7	6	-	252	54176731	54176982	2.5064106660184473	5.1433189321924724e-55	9.55043731134563e-54	17	69	4.25	14	38	2.8462	38	91	2.4324	26	234	9.32	15	205	14.5714	3	360	179.5
XM_078021150.1	Sepsecs	9	-	137	18399547	18399683	1.788216493836348	1.0960863295792818e-54	1.9961418348299614e-53	35	69	2.0	28	30	1.0741	71	135	1.9143	72	251	3.5211	55	303	5.5926	22	344	16.3333
XM_078021457.1	Antxr2	9	-	917	61030180	61031096	2.1539924146832945	7.167100828649849e-53	1.280612166930454e-51	29	22	0.75	31	26	0.8333	75	65	0.8649	38	83	2.2162	42	98	2.3659	9	178	22.125
XM_005327563.5	Znf330	9	-	186	131964125	131964310	1.6572256733317245	1.356190913321411e-52	2.378357027621067e-51	35	69	2.0	52	44	0.8431	162	118	0.7267	71	197	2.8	67	147	2.2121	27	160	6.1154
XM_013360765.4;XM_005330284.5	Zmat3	3	-	244	123121514	123121757	1.810140481640815	6.4193276267711384e-52	1.1052915022822305e-50	40	49	1.2308	63	32	0.5	145	119	0.8194	52	115	2.2353	60	92	1.5424	10	132	14.5556
XM_005324504.5	Epas1	12	-	587	84590275	84590861	0.9761741649552196	6.905072204264097e-52	1.167697031685375e-50	138	358	2.6058	77	160	2.0921	287	361	1.2587	173	576	3.343	180	400	2.2291	105	694	6.6635
XM_013362415.4	Arid5b	1	-	285	58579756	58580040	1.3480419216408883	2.317895272323316e-50	3.850959338403825e-49	110	67	0.6055	64	54	0.8413	268	61	0.2247	153	122	0.7961	168	145	0.8623	91	210	2.3222
XM_021728423.3;XM_013359945.4	Axin2	3	-	175	12083634	12083808	2.5742050905561915	1.0375105152807832e-48	1.694004237880865e-47	22	14	0.619	47	5	0.087	97	28	0.2812	49	60	1.2292	19	57	3.1111	23	36	1.5909
XM_005327221.3	Pja2	1	-	139	115434864	115435002	1.70836911109594	1.160402351667932e-48	1.8625441136093758e-47	25	73	3.0	48	64	1.3404	141	134	0.95	49	150	3.1042	50	186	3.7755	16	171	11.3333
XM_005329225.5;XM_021729065.3;XM_078031029.1	Irf2	14	-	191	33810860	33811050	1.6833941127657206	5.156583125671269e-48	8.138807033351153e-47	44	155	3.5814	35	122	3.5588	97	422	4.3854	39	449	11.7895	23	327	14.8182	27	325	12.4615
XM_005334409.5	Cxcl12	1	+	3017	76288288	76291304	1.0252479629221452	1.4447891552103533e-47	2.242975950793778e-46	123	117	0.9508	85	59	0.6905	548	270	0.4918	213	216	1.0142	218	321	1.4747	166	243	1.4667
XM_005322825.5	Actn1	5	-	404	63554032	63554435	1.792099575720612	2.7999918428299656e-47	4.276761734128996e-46	46	45	0.9778	64	35	0.5397	76	45	0.5867	65	114	1.7656	72	103	1.4366	14	122	9.3077
XM_005321354.5	Ust	8	-	768	17252364	17253131	2.8622333054696267	1.3916115945293771e-45	2.091835206379873e-44	14	17	1.2308	28	22	0.7778	44	57	1.3023	13	60	4.9167	6	71	14.0	8	87	12.2857
XM_005315804.3;XM_078017403.1	Arl5a	7	-	382	122899926	122900307	1.6738431684855828	2.0962757582844684e-45	3.1018330360865493e-44	42	59	1.4146	40	43	1.0769	74	138	1.8767	55	166	3.0556	57	197	3.5	10	209	23.1111
XM_078046241.1	Pdhx	4	-	231	29801705	29801935	1.6282349673960221	3.582239382925286e-45	5.219047224046532e-44	72	26	0.3521	85	37	0.4286	180	61	0.3352	88	128	1.4598	128	67	0.5197	25	68	2.7917
XM_005323965.3	Tspan7	x	-	159	95627517	95627675	3.192117230316102	8.631043611176318e-45	1.2384239848157536e-43	16	13	0.8	18	10	0.5294	26	21	0.8	6	28	5.4	12	53	4.7273	6	103	20.4
XM_078019349.1	LOC144366078	8	+	583	46255401	46255983	0.9162245616591239	3.109848718578278e-44	4.395562293274073e-43	82	390	4.8025	87	301	3.4884	271	1084	4.0111	108	771	7.1963	186	1361	7.3514	100	857	8.6465
XM_005339807.5	Tet2	9	-	322	98283551	98283872	2.733696111151073	6.138607732976184e-44	8.548914004600657e-43	16	27	1.7333	25	17	0.6667	63	31	0.4839	11	52	5.1	11	48	4.7	10	67	7.3333
XM_078030181.1	Galnt1	13	-	132	35638851	35638982	2.4204199785215854	1.2163591134124248e-43	1.669408812176183e-42	23	28	1.2273	32	24	0.7419	57	67	1.1786	23	75	3.3636	15	64	4.5	3	90	44.5
XM_005334287.5	Bambi	10	-	504	94965751	94966254	2.553377585585162	2.003031043151797e-43	2.709814854092502e-42	53	10	0.1731	44	3	0.0465	98	9	0.0825	76	34	0.44	110	22	0.1927	27	80	3.0385
XM_005330966.5	Edem1	16	-	812	45251063	45251874	1.4231188186476926	2.4496092929996097e-43	3.2672957753107475e-42	76	65	0.8533	123	75	0.6066	297	146	0.4899	76	102	1.3467	70	99	1.4203	28	79	2.8889
XM_040270441.2	Bdh1	3	-	236	142431065	142431300	1.5245505926851712	1.3576104981774488e-42	1.7856349191306167e-41	44	64	1.4651	37	24	0.6389	136	153	1.1259	78	182	2.3506	70	216	3.1159	27	136	5.1923
XM_040288964.2	Selenof	11	-	347	70102114	70102460	1.2282375972346733	6.057771335553818e-42	7.858506102423925e-41	56	117	2.1091	52	84	1.6275	189	265	1.4043	85	302	3.5833	88	234	2.6782	50	315	6.4082
XM_005323094.4	Onecut2	13	-	1590	17380830	17382419	0.8285268075287688	6.299323859205206e-42	8.061432019820715e-41	143	282	1.9789	168	329	1.9641	336	490	1.4597	214	509	2.385	143	340	2.3873	106	599	5.6952
XM_005328227.5	Psmd12	3	-	218	13531929	13532146	1.4153464927781862	1.1668376763246734e-41	1.4539411572098234e-40	23	113	5.0909	44	70	1.6047	110	220	2.0092	55	328	6.0556	59	272	4.6724	45	408	9.25
XM_078030442.1	Vapa	13	-	330	89087010	89087339	1.3654630996394581	1.1533148152310172e-41	1.4539411572098234e-40	32	134	4.2903	36	91	2.5714	118	268	2.2821	69	381	5.5882	93	422	4.5761	14	392	30.0769
XM_040273772.2	Csnk1a1	1	-	678	129106999	129107676	0.9158286125998417	1.030440784611239e-40	1.267308341593303e-39	153	192	1.2566	110	165	1.5046	365	380	1.0412	174	337	1.9422	170	281	1.6568	68	306	4.5522
XM_021730326.3;XM_005331011.5	Etv5	3	-	172	131321400	131321571	3.4764288429571	2.5058967290472784e-40	3.0424156441125285e-39	48	2	0.0213	77	4	0.0395	113	2	0.0089	79	16	0.1923	97	21	0.2083	5	20	4.75
XM_078021052.1;XM_078021054.1;XM_078021056.1	Cpeb2	9	+	4006	10014762	10018767	1.06112140985754	7.463990499539474e-40	8.947340510207446e-39	87	60	0.686	127	47	0.3651	254	74	0.2885	387	276	0.7124	399	372	0.9322	470	397	0.8443
XR_013423872.1	LOC144365441	7	-	597	33571642	33572238	2.5764596113023637	8.579434918448776e-40	1.0155906084713738e-38	34	11	0.303	30	3	0.069	132	7	0.0458	73	38	0.5139	55	28	0.5	35	56	1.6176
XR_013426837.1	LOC101968211	10	+	576	111392112	111392687	1.2540497373659092	9.427392271482417e-40	1.1021901828510924e-38	68	191	2.8358	15	33	2.2857	89	177	2.0	112	416	3.7387	68	527	7.8507	99	638	6.5
XM_005322926.5	Chchd7	7	-	159	72124464	72124622	2.037617686208905	2.642494747376591e-39	3.0517591777629655e-38	47	36	0.7609	52	19	0.3529	14	60	4.5385	5	72	17.75	41	87	2.15	20	99	5.1579
XM_021731147.3	LOC101961272	2	-	301	213216773	213217073	1.599541048296131	6.438303286216252e-39	7.34587133981541e-38	84	48	0.5663	77	41	0.5263	256	132	0.5137	48	50	1.0426	41	39	0.95	23	100	4.5
XM_078038289.1;XM_078038293.1;XM_078038290.1	Thrb	2	+	4878	35960911	35965788	-0.7263306811986328	1.3928444661491253e-38	1.57026632076574e-37	222	241	1.086	254	163	0.6403	292	252	0.8625	542	329	0.6063	564	336	0.595	620	226	0.3635
XM_078053169.1;XM_078053168.1;XM_078053167.1;XM_078053165.1;XM_078053166.1	Cpsf6	6	-	160	45926764	45926923	1.5590023824672317	1.4536020235469474e-38	1.6194836662340694e-37	31	77	2.5333	28	87	3.1852	66	203	3.1077	27	282	10.8077	39	286	7.5	46	391	8.6667
XM_040291843.2	Septin7	2	-	169	140358594	140358762	1.851417835432654	6.03001238131227e-38	6.6400252617473486e-37	31	63	2.0667	41	56	1.375	63	131	2.0968	14	147	11.2308	38	128	3.4324	9	115	14.25
XM_005334280.5	Rab18	10	-	255	96197056	96197310	1.1526087985188918	8.845960640259029e-38	9.628878995776207e-37	77	125	1.6316	82	100	1.2222	185	222	1.2011	57	170	3.0179	104	198	1.9126	54	264	4.9623
XM_005335216.4	Amer1	x	-	194	68309014	68309207	2.3534444808367385	1.1583325188660688e-37	1.2465237447342809e-36	22	27	1.2381	25	18	0.7083	74	46	0.6164	16	65	4.2667	21	56	2.75	6	48	9.4
XM_005320095.5	Arrdc4	5	+	2688	146400804	146403491	0.9947623128576812	1.489590344626434e-37	1.5849910745631832e-36	147	124	0.8425	93	50	0.5326	254	172	0.6759	203	256	1.2624	123	176	1.4344	182	270	1.4862
XM_005328877.4	Med21	6	-	78	82226457	82226534	1.9886861323976774	9.974819616599203e-37	1.0495726863243828e-35	49	23	0.4583	33	8	0.2188	117	18	0.1466	50	52	1.0408	84	37	0.4337	22	65	3.0476
XM_005327222.5	Man2a1	1	+	2763	115831347	115834109	1.1154163159112327	1.2125034447377727e-36	1.2618030353479898e-35	69	92	1.3382	38	35	0.9189	193	105	0.5417	148	255	1.7279	144	271	1.8881	217	359	1.6574
XM_005320311.5	Asb13	10	-	155	70873732	70873886	1.229861315091234	1.4158351338968646e-36	1.4573868171742726e-35	68	117	1.7313	87	51	0.5814	190	178	0.9365	67	150	2.2576	104	154	1.4854	25	137	5.6667
XM_040292523.2	Rbm47	9	-	140	30604570	30604709	1.6086562716844042	8.523040548882934e-36	8.678838064292623e-35	51	232	4.62	22	123	5.8095	30	382	13.1379	10	588	65.2222	34	400	12.0909	23	483	21.9091
XM_078023450.1;XM_078023451.1	Svil	10	-	155	93755850	93756004	2.568405636759733	1.0361228524096334e-35	1.0438386608850244e-34	9	17	2.0	17	19	1.125	28	23	0.8148	11	79	7.8	24	84	3.6087	4	87	28.6667
XM_005324762.4;XM_005324763.5	Tent5a	8	+	4756	77494601	77499356	1.4728476925566674	1.2826929767354697e-35	1.2786423673352523e-34	91	32	0.3444	92	16	0.1648	254	44	0.17	160	73	0.4528	83	57	0.6829	139	101	0.7246
XM_078029449.1	Ypel5	12	-	113	98131379	98131491	0.977102777764208	1.7627688191932914e-35	1.7388979914333823e-34	105	274	2.625	99	118	1.1939	183	576	3.1593	90	396	4.4382	129	315	2.4531	19	341	18.8889
XM_013355829.4;XM_078020213.1	Zbtb9	8	-	207	116888237	116888443	1.2717084118039834	2.2109987284845e-35	2.1585729854379604e-34	61	73	1.2	64	39	0.6032	125	113	0.9032	75	162	2.1757	135	137	1.0149	19	162	8.9444
XM_013359850.3;XM_078047642.1;XM_021728196.3;XM_078047641.1	Mpdz	4	-	296	155694713	155695008	1.3429355255472237	1.167732541393534e-34	1.1284109354078334e-33	36	88	2.4857	36	34	0.9429	125	260	2.0887	68	208	3.0896	59	220	3.7759	18	253	14.8235
XM_005319202.5	Epdr1	2	-	534	138499511	138500044	1.3458736695312448	1.2919815933088302e-34	1.2358652210742042e-33	68	57	0.8358	55	24	0.4259	121	72	0.5917	114	180	1.5841	137	134	0.9779	28	98	3.5926
XM_005328152.5;XM_040268664.2	LOC101960968	3	-	112	17143480	17143591	1.9230269563742621	1.8275972324357748e-34	1.7307345791166787e-33	17	29	1.75	33	41	1.25	78	48	0.6104	13	98	8.0833	28	40	1.4444	17	101	6.25
XR_013427545.1	LOC144367919	11	-	454	12961165	12961618	2.5933025320270104	3.88415387031806e-34	3.641874965535845e-33	5	14	3.25	28	20	0.7037	43	41	0.9524	4	39	12.6667	20	53	2.7368	5	97	24.0
XM_078044314.1	Nfkbiz	3	-	4761	164911064	164915824	1.0510023134340911	9.649900808684046e-34	8.959270652768423e-33	55	224	4.1296	97	320	3.3229	167	552	3.3193	60	413	6.9831	52	381	7.451	62	460	7.5246
XM_005331872.5	Mgst1	6	-	155	91281358	91281512	1.3939241729412395	1.2181220481638941e-33	1.116805550336314e-32	31	264	8.7667	41	101	2.5	65	341	5.3125	36	424	12.0857	47	318	6.8913	6	454	90.6
XM_005321083.3	Ass1	4	+	295	204934582	204934876	1.1752041593475029	1.226481280200387e-33	1.116805550336314e-32	120	339	2.8403	85	307	3.6429	324	518	1.6006	28	145	5.3333	60	292	4.9322	24	162	7.0
XM_005337216.4	Elp3	14	-	154	8304513	8304666	1.8747102675951655	2.4966215266139597e-33	2.2517148435270665e-32	25	19	0.75	39	15	0.3684	117	39	0.3276	36	78	2.2	51	54	1.06	23	42	1.8636
XM_005318756.4	Srsf3	8	-	149	114262755	114262903	0.9641521591096273	6.694042830908067e-33	5.980432604594282e-32	51	229	4.56	36	186	5.2857	190	386	2.037	129	542	4.2266	112	549	4.9369	49	667	13.875
XM_040285542.2	Ets1	4	-	419	111918068	111918486	2.344036611452691	1.499294726092709e-32	1.3269458930932668e-31	5	31	7.5	18	39	2.2353	48	95	2.0	9	123	15.25	8	132	18.7143	14	130	9.9231
XR_013440415.1;XM_005324422.4	Tmtc3	6	-	305	29763625	29763929	1.5672023043158005	1.8310109418417104e-32	1.6055253351149072e-31	58	32	0.5439	53	27	0.5	140	42	0.295	73	68	0.9306	52	62	1.1961	34	66	1.9697
XM_078047466.1	Adrb2	1	+	2720	128471951	128474670	1.022296740414167	3.418745314509278e-32	2.970231020954391e-31	81	51	0.625	104	62	0.5922	237	160	0.6737	150	180	1.2013	165	152	0.9207	100	206	2.0707
XR_013424179.1;XM_040294521.2	Rbm45	7	+	10283	145806647	145816929	1.3316716652087979	5.597763530862592e-32	4.775749606961148e-31	107	51	0.4717	81	33	0.4	227	70	0.3053	109	76	0.6944	62	66	1.0656	51	68	1.34
XM_078021370.1	LOC144366700	9	-	784	51829802	51830585	0.8695123401366989	5.560923127468131e-32	4.775749606961148e-31	174	75	0.4277	68	38	0.5522	256	214	0.8353	332	289	0.8701	245	226	0.9221	206	397	1.9317
XM_005332479.5	Rpl22l1	3	-	154	115725878	115726031	1.9480242167819635	5.121051099094489e-31	4.3300315989665005e-30	14	45	3.3846	11	35	3.4	50	80	1.6122	26	179	7.12	24	134	5.7826	5	157	39.0
XM_078021397.1	Slc4a4	9	+	4118	53832698	53836815	1.3740373098901038	5.4642134925875235e-31	4.57930104201804e-30	64	65	1.0159	17	20	1.1875	87	66	0.7558	73	120	1.6528	71	174	2.4714	57	191	3.3929
XM_040291583.2;XM_013361522.4	Mdfic	2	-	496	190416888	190417383	1.8656992400134493	7.7370844503469365e-31	6.427209626735569e-30	22	60	2.8095	16	28	1.8	52	58	1.1176	31	155	5.1333	24	124	5.3478	8	86	12.1429
