long-eRNA	log2fc	pvalue	FDR
10:98956260-98974926:-	0.16496543026695695	0.2976059800417892	0.33022033401897155
nw_027523678.1:127477-163552:+	-0.1046176528005773	0.3115933773107066	0.34106842651577346
13:23857829-23868554:+	-0.5570893294178535	0.34195269976788856	0.3693089157493196
1:201101012-201146342:-	-0.4183044604698309	0.5228149936642489	0.5572107169316337
nw_027523678.1:72863-86970:-	0.23013520166123078	0.5511480034475343	0.5797790685616919
nw_027526179.1:359516-423622:+	0.5549277824559876	0.5842819845886428	0.606754368611283
6:131379221-131420606:-	0.03679079218591188	0.9113160848798461	0.9343873781679434
nw_027524982.1:409549-424450:-	0.06456592542694237	0.9550317005292472	0.9669695967858629
nw_027522565.1:157936-190004:+	-0.0876354175207634	0.9778435534732279	0.9778435534732279
12:117058947-117072107:+	NA	NA	NA
